,hs300,zz500,zz1000,cyb,kc50,hongli
2013-01-04,0.47962277179493656,0.24941039081301616,0.2039883709651194,0.1585926860099105,,0.48215813998560175
2013-01-07,0.4870210133778519,0.2409002000920692,0.21461643182609164,0.1632561370847338,,0.578327284704158
2013-01-08,0.5018154472307244,0.5109069952523843,0.4926524923558124,0.5701238950010661,,0.5584060416096388
2013-01-09,0.300431080993803,0.3830862430196721,0.3534889882014508,0.4154222508628293,,0.3064770027971397
2013-01-10,0.07763058433947585,0.3166250467788533,0.3570266760943096,0.43322695260236366,,0.06671941189433166
2013-01-11,-0.20771141977149007,0.04613899464420057,0.18609117636651185,0.41826663862711033,,-0.1990322060331886
2013-01-14,0.27782488979014225,0.39146339774029804,0.44026827982115135,0.6825887862759978,,0.1870627399313884
2013-01-15,0.44182326427894647,0.4452154779972412,0.4668829169509148,0.674379126455058,,0.3088675018905337
2013-01-16,0.33832646275136746,0.4078185794952679,0.4355224510475921,0.5921127583107053,,0.17232166290195086
2013-01-17,0.178386364352108,0.17492690034626368,0.22263073588791102,0.4024656509480927,,0.0661639207287829
2013-01-18,0.6864439657658197,0.7381345290638455,0.6415934981025911,0.8616631247629446,,0.5132079154626349
2013-01-21,0.22237965509998475,0.3465027195620487,0.29083799415688516,0.41103179704304094,,0.1329241085256268
2013-01-22,0.04290975856307446,-0.058244604639867824,-0.1154314986648168,-0.06361389892786433,,0.06874555395142032
2013-01-23,0.19954661736893864,-0.005902181270900831,-0.022159067715572876,0.09620050872131784,,0.2864452144837119
2013-01-24,0.19843944306853004,-0.12376132756812049,-0.1726152147309741,-0.12703029416526013,,0.30412620437782445
2013-01-25,-0.09942477200888636,-0.3399921124113926,-0.34399000842067073,-0.3154166103344219,,0.05037894884566001
2013-01-28,0.26587051821734686,-0.09351759610449521,-0.1260587707909248,-0.04408614207431945,,0.41237704961313837
2013-01-29,0.4740293212131081,0.20565768202987994,0.17928158629548271,0.27710727439797234,,0.6071083579398839
2013-01-30,0.4866289642170554,0.2259799222898277,0.09924895904967812,0.08016716299980382,,0.59836902163632
2013-01-31,0.6131039432938427,0.41223631397240623,0.3138046747925926,0.2879205014839187,,0.7205447455253082
2013-02-01,0.9780450605285964,0.5250780532277004,0.36589337433495894,0.2897255535788541,,1.1401265081279095
2013-02-04,0.5541729015113696,0.10552251933090954,-0.0393058949800235,-0.1911517466984689,,0.7090450150665148
2013-02-05,0.5443331938572769,0.154856298229072,-0.0033927011925621864,-0.10139257859116262,,0.5770916213163447
2013-02-06,0.49813120835848246,0.17886782035586618,0.07806441613072838,0.16150355475591816,,0.537547487822038
2013-02-07,0.4239621039098459,0.30380446510387843,0.19552086488812587,0.4577812465824781,,0.28294434781573974
2013-02-08,0.1842918004515904,0.3865900436587252,0.28797916579404403,0.5850196230599028,,-0.12909838431448947
2013-02-18,-0.024295408231308026,0.5397709922163697,0.5100277031661817,0.8971140957862531,,-0.28696438181112327
2013-02-19,-0.4282833978759973,0.13984345631974954,0.20772469904358778,0.5070159218637877,,-0.47230671341149577
2013-02-20,-0.362813151215296,0.3553418343879634,0.40514177913083016,0.8324071173407381,,-0.4896818613432191
2013-02-21,-0.7779948445694662,0.024623565930927783,0.12962691370885143,0.4451685338097606,,-0.78129198710589
2013-02-22,-0.9216319497220645,-0.1924406903025384,-0.030062546604383584,0.22059029554030044,,-0.8736754569274231
2013-02-25,-0.6967231795657033,-0.10586522863661903,0.00214434671689947,0.29680424950767775,,-0.6754218840845994
2013-02-26,-0.6210212649513613,-0.05659400953570257,0.0394198973693989,0.4527201791323944,,-0.6720570295232984
2013-02-27,-0.5615079234909832,-0.329316632257524,-0.2023744241029231,-0.07394847748236447,,-0.4960519695570452
2013-02-28,0.3743186545425372,0.22563617402043432,0.23172567096118285,0.32445043683219604,,0.42595287370799156
2013-03-01,0.4385656081894888,0.3759634210305597,0.3877640540346993,0.6084106757256114,,0.5317283441278658
2013-03-04,-0.25582846889960664,-0.24104882850268394,-0.10690342606461618,0.08463535730875678,,-0.17005033155589136
2013-03-05,0.33917348747082715,0.2595170639403506,0.338740084627662,0.5022648393061491,,0.5177667801445217
2013-03-06,0.3304348320973697,0.3977966891316657,0.48444944174187254,0.7074148926101675,,0.4755381638470809
2013-03-07,-0.2564677147745905,-0.02498615192028908,0.12176164195127029,0.17886571009836053,,-0.1301713238482808
2013-03-08,-0.3037865076570222,-0.269688491755513,-0.13301089156132653,-0.23267224923704505,,-0.12364921868700848
2013-03-11,0.27104743482529586,0.2127226034584743,0.239357574431131,0.13716062326653383,,0.3418588645607969
2013-03-12,-0.30886514715947366,-0.3922945030479436,-0.3625131591168671,-0.5673543952289126,,-0.41949236435561466
