date,open,high,low,close,volume
2005-01-04,16540.0,16540.0,16060.0,16060.0,56286
2005-01-05,15600.0,15870.0,15600.0,15830.0,59554
2005-01-06,15900.0,16020.0,15820.0,15920.0,23136
2005-01-07,15870.0,15980.0,15820.0,15930.0,20856
2005-01-10,15920.0,15960.0,15800.0,15870.0,15518
2005-01-11,15900.0,16050.0,15900.0,16030.0,26650
2005-01-12,16100.0,16100.0,15970.0,16030.0,15946
2005-01-13,16000.0,16060.0,15980.0,16040.0,8044
2005-01-14,15980.0,16070.0,15960.0,16020.0,11156
2005-01-17,16040.0,16180.0,16020.0,16100.0,17084
2005-01-18,16020.0,16090.0,15980.0,16020.0,9436
2005-01-19,16060.0,16070.0,15980.0,16060.0,5736
2005-01-20,16060.0,16080.0,16020.0,16080.0,5406
2005-01-21,16080.0,16150.0,16070.0,16140.0,5006
2005-01-24,16160.0,16370.0,16160.0,16330.0,13392
2005-01-25,16250.0,16330.0,16240.0,16320.0,6252
2005-01-26,16250.0,16270.0,16110.0,16170.0,8690
2005-01-27,16280.0,16340.0,16240.0,16240.0,10332
2005-01-28,16230.0,16340.0,16180.0,16330.0,9352
2005-01-31,16390.0,16400.0,16270.0,16290.0,5182
2005-02-01,16350.0,16370.0,16300.0,16320.0,4234
2005-02-02,16270.0,16330.0,16270.0,16330.0,2652
2005-02-03,16260.0,16280.0,16180.0,16210.0,6452
2005-02-04,16250.0,16290.0,16220.0,16280.0,2700
2005-02-16,16550.0,16570.0,16380.0,16380.0,10220
2005-02-17,16390.0,16410.0,16340.0,16380.0,5508
2005-02-18,16560.0,16560.0,16440.0,16460.0,13564
2005-02-21,16410.0,16570.0,16410.0,16430.0,10564
2005-02-22,16500.0,16580.0,16460.0,16520.0,5426
2005-02-23,16600.0,16660.0,16490.0,16520.0,14452
2005-02-24,16600.0,16660.0,16580.0,16610.0,12200
2005-02-25,16410.0,16510.0,16410.0,16480.0,8206
2005-02-28,16510.0,16640.0,16500.0,16560.0,14696
2005-03-01,16520.0,16550.0,16490.0,16520.0,5814
2005-03-02,16460.0,16520.0,16460.0,16520.0,3170
2005-03-03,16540.0,16570.0,16480.0,16480.0,4342
2005-03-04,16550.0,16570.0,16450.0,16530.0,7128
2005-03-07,16590.0,16650.0,16570.0,16580.0,10388
2005-03-08,16590.0,16600.0,16570.0,16600.0,2960
2005-03-09,16640.0,17000.0,16610.0,16990.0,42068
2005-03-10,17090.0,17170.0,16890.0,17030.0,50950
2005-03-11,17060.0,17120.0,16900.0,16930.0,26700
2005-03-14,16890.0,17000.0,16770.0,16810.0,22888
2005-03-15,16760.0,16900.0,16740.0,16790.0,12112
2005-03-16,16860.0,17030.0,16820.0,17020.0,24576
2005-03-17,17090.0,17240.0,16900.0,17110.0,37124
2005-03-18,16980.0,17090.0,16570.0,16830.0,34532
2005-03-21,16950.0,17030.0,16880.0,16920.0,13208
2005-03-22,16800.0,16930.0,16790.0,16880.0,7672
2005-03-23,16850.0,16900.0,16760.0,16780.0,9900
2005-03-24,16680.0,16780.0,16660.0,16760.0,11996
2005-03-25,16700.0,16780.0,16690.0,16760.0,7630
2005-03-28,16780.0,16840.0,16630.0,16720.0,10760
2005-03-29,16760.0,16800.0,16700.0,16710.0,7834
2005-03-30,16700.0,16780.0,16680.0,16730.0,7002
2005-03-31,16800.0,16810.0,16720.0,16740.0,4300
2005-04-01,16780.0,16800.0,16730.0,16770.0,5786
2005-04-04,16660.0,16710.0,16640.0,16680.0,5100
2005-04-05,16710.0,16720.0,16640.0,16660.0,4094
2005-04-06,16680.0,16730.0,16620.0,16710.0,5006
2005-04-07,16770.0,16920.0,16740.0,16880.0,9950
2005-04-08,16860.0,16860.0,16790.0,16810.0,5450
2005-04-11,16850.0,16950.0,16830.0,16930.0,7540
2005-04-12,16980.0,17020.0,16750.0,16850.0,14332
2005-04-13,16760.0,16840.0,16760.0,16820.0,3974
2005-04-14,16700.0,16770.0,16490.0,16630.0,13408
2005-04-15,16600.0,16770.0,16600.0,16700.0,7206
2005-04-18,16740.0,16790.0,16720.0,16720.0,3382
