date,open,high,low,close,volume
2007-03-26,28600.0,29600.0,28580.0,29220.0,16786
2007-03-27,29550.0,29745.0,29500.0,29725.0,16046
2007-03-28,29495.0,29700.0,29420.0,29565.0,8506
2007-03-29,29510.0,29560.0,29010.0,29020.0,8694
2007-03-30,29430.0,29500.0,29180.0,29380.0,13756
2007-04-02,29390.0,29445.0,29250.0,29290.0,5902
2007-04-03,28935.0,28980.0,28660.0,28780.0,11610
2007-04-04,29250.0,29260.0,28980.0,28985.0,8848
2007-04-05,29700.0,30245.0,29540.0,30245.0,18584
2007-04-06,30245.0,31515.0,30105.0,31390.0,61548
2007-04-09,31550.0,32195.0,31550.0,32195.0,32744
2007-04-10,32850.0,33865.0,31980.0,32740.0,128462
2007-04-11,32800.0,32990.0,32020.0,32400.0,115844
2007-04-12,32535.0,33220.0,32370.0,32940.0,112858
2007-04-13,32000.0,32265.0,31600.0,31720.0,58412
2007-04-16,32055.0,32360.0,31860.0,32240.0,57966
2007-04-17,32100.0,32640.0,31855.0,32160.0,75052
2007-04-18,33590.0,33590.0,33400.0,33590.0,23606
2007-04-19,33790.0,34030.0,31560.0,32790.0,142760
2007-04-20,33000.0,33100.0,31990.0,32950.0,127544
2007-04-23,33000.0,33630.0,31990.0,33600.0,34288
2007-04-24,33980.0,34100.0,33460.0,34065.0,100956
2007-04-25,33335.0,33480.0,32860.0,33070.0,124430
2007-04-26,33365.0,33500.0,33120.0,33305.0,67122
2007-04-27,32500.0,32700.0,32160.0,32270.0,72398
2007-04-30,32310.0,32775.0,32120.0,32700.0,50030
2007-05-08,33705.0,33705.0,33705.0,33705.0,584
2007-05-09,35590.0,35590.0,34500.0,34555.0,96548
2007-05-10,34190.0,34745.0,34105.0,34710.0,107616
2007-05-11,33800.0,34000.0,33205.0,33330.0,85600
2007-05-14,33860.0,33900.0,33330.0,33410.0,71204
2007-05-15,32600.0,32630.0,32255.0,32255.0,55048
2007-05-16,32300.0,32530.0,31435.0,31830.0,88234
2007-05-17,30525.0,31015.0,30520.0,30520.0,57508
2007-05-18,29720.0,30140.0,28900.0,29355.0,128688
2007-05-21,29545.0,30725.0,29545.0,30725.0,51496
2007-05-22,31350.0,32000.0,30565.0,30900.0,127892
2007-05-23,30110.0,30350.0,29920.0,30130.0,64856
2007-05-24,29910.0,30600.0,29910.0,30585.0,82826
2007-05-25,29310.0,29880.0,29310.0,29800.0,53938
2007-05-28,30650.0,30650.0,30650.0,30650.0,1540
2007-05-29,31200.0,31200.0,30120.0,30245.0,54810
2007-05-30,30200.0,30655.0,30005.0,30125.0,65978
2007-05-31,30365.0,30780.0,30295.0,30705.0,45712
2007-06-01,31010.0,31095.0,30490.0,30590.0,40076
2007-06-04,30900.0,30965.0,30400.0,30400.0,28452
2007-06-05,30980.0,31010.0,30730.0,30900.0,45616
2007-06-06,30600.0,30850.0,30535.0,30675.0,30910
2007-06-07,30300.0,30485.0,30010.0,30140.0,37566
2007-06-08,30100.0,30250.0,29780.0,29925.0,31964
2007-06-11,30010.0,30280.0,29730.0,30270.0,49936
2007-06-12,30490.0,30530.0,29960.0,29980.0,35568
2007-06-13,29900.0,30050.0,29780.0,29965.0,20366
2007-06-14,30010.0,30045.0,29730.0,29780.0,17254
2007-06-15,29850.0,29900.0,28820.0,28870.0,45988
2007-06-18,29080.0,29360.0,28785.0,29280.0,47068
2007-06-19,28980.0,28980.0,28615.0,28750.0,34306
2007-06-20,28610.0,29050.0,28580.0,28905.0,36328
2007-06-21,28805.0,28880.0,28680.0,28810.0,20252
2007-06-22,28480.0,28490.0,28110.0,28160.0,38262
2007-06-25,28205.0,28220.0,27090.0,27090.0,49488
2007-06-26,27270.0,27290.0,26445.0,26455.0,82268
2007-06-27,26000.0,26000.0,25625.0,25625.0,29532
2007-06-28,25410.0,26620.0,25410.0,26575.0,147990
2007-06-29,26565.0,27015.0,25850.0,26695.0,233410
2007-07-02,26415.0,26750.0,26165.0,26620.0,162866
2007-07-03,27100.0,27535.0,27000.0,27535.0,116604
2007-07-04,27255.0,27440.0,26605.0,26655.0,188006
2007-07-05,26900.0,27000.0,26510.0,26670.0,158864
2007-07-06,26555.0,26580.0,26150.0,26250.0,115788
2007-07-09,26325.0,27070.0,26320.0,26985.0,114630
2007-07-10,26810.0,26885.0,26520.0,26565.0,117976
2007-07-11,26510.0,26510.0,26215.0,26360.0,90986
2007-07-12,26880.0,26955.0,26560.0,26940.0,81722
2007-07-13,27000.0,27325.0,26830.0,27210.0,81766
2007-07-16,27000.0,27325.0,26830.0,27210.0,81766
2007-07-18,27000.0,27450.0,26830.0,27340.0,74262
2007-07-19,27340.0,27535.0,27250.0,27400.0,68300
2007-07-20,27810.0,28470.0,27810.0,28470.0,79684
2007-07-23,28820.0,29880.0,28780.0,29230.0,140614
2007-07-24,28950.0,29030.0,28470.0,28530.0,144676
2007-07-25,28600.0,28970.0,28600.0,28900.0,101582
2007-07-26,28400.0,29195.0,28280.0,29120.0,116282
2007-07-27,28310.0,28815.0,28120.0,28275.0,128304
2007-07-30,28300.0,28600.0,28255.0,28425.0,66614
2007-07-31,28630.0,28880.0,28620.0,28790.0,35590
2007-08-01,29010.0,29100.0,28100.0,28110.0,72612
2007-08-02,28450.0,28495.0,28040.0,28395.0,89268
2007-08-03,28250.0,28400.0,28150.0,28350.0,48774
2007-08-06,27350.0,27660.0,27350.0,27470.0,58146
2007-08-07,27960.0,27960.0,27600.0,27685.0,32880
2007-08-08,27960.0,28030.0,27710.0,27820.0,51332
2007-08-09,27860.0,28390.0,27805.0,28390.0,72066
2007-08-10,27950.0,28155.0,27780.0,27965.0,82838
2007-08-13,28160.0,28215.0,28000.0,28120.0,43826
2007-08-14,28150.0,28170.0,27905.0,28010.0,32946
2007-08-15,27710.0,27780.0,27630.0,27750.0,26888
2007-08-16,27610.0,27875.0,26700.0,27100.0,101264
2007-08-17,26120.0,26280.0,26120.0,26120.0,24842
2007-08-20,26120.0,27080.0,26120.0,27040.0,53012
2007-08-21,26790.0,26975.0,26555.0,26770.0,75180
2007-08-22,26700.0,26890.0,26485.0,26800.0,56846
2007-08-23,27490.0,27650.0,27320.0,27600.0,49946
2007-08-24,27605.0,27610.0,27210.0,27240.0,40276
2007-08-27,27385.0,27630.0,27290.0,27420.0,43442
2007-08-28,27310.0,27470.0,27070.0,27135.0,42536
2007-08-29,26700.0,27000.0,26610.0,26915.0,48196
2007-08-30,27175.0,27410.0,27160.0,27300.0,46192
2007-08-31,27300.0,27505.0,27110.0,27500.0,60118
