,510300_择时收益,510300_仓位,510500_择时收益,510500_仓位,512100_择时收益,512100_仓位,159915_择时收益,159915_仓位,588000_择时收益,588000_仓位,510880_择时收益,510880_仓位
2015-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-06,0.00011975569837519018,0.0,0.00011975569837519018,0.0,0.00011975569837519018,0.0,0.00011975569837519018,0.0,0.00011975569837519018,0.0,0.00011975569837519018,0.0
2015-01-07,4.989223277740429e-05,0.0,4.989223277740429e-05,0.0,4.989223277740429e-05,0.0,4.989223277740429e-05,0.0,4.989223277740429e-05,0.0,4.989223277740429e-05,0.0
2015-01-08,0.00022949282086570655,0.0,0.00022949282086570655,0.0,0.00022949282086570655,0.0,0.00022949282086570655,0.0,0.00022949282086570655,0.0,0.00022949282086570655,0.0
2015-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-13,0.00019951716845234557,0.0,0.00019951716845234557,0.0,0.00019951716845234557,0.0,0.00019951716845234557,0.0,0.00019951716845234557,0.0,0.00019951716845234557,0.0
2015-01-14,0.0002692944485447324,0.0,0.0002692944485447324,0.0,0.0002692944485447324,0.0,0.0002692944485447324,0.0,0.0002692944485447324,0.0,0.0002692944485447324,0.0
2015-01-15,0.00022933721544760033,0.0,0.00022933721544760033,0.0,0.00022933721544760033,0.0,0.00022933721544760033,0.0,0.00022933721544760033,0.0,0.00022933721544760033,0.0
2015-01-16,0.00039875588164894893,0.0,0.00039875588164894893,0.0,0.00039875588164894893,0.0,0.00039875588164894893,0.0,0.00039875588164894893,0.0,0.00039875588164894893,0.0
2015-01-19,0.000468351403061229,0.0,0.000468351403061229,0.0,0.000468351403061229,0.0,0.000468351403061229,0.0,0.000468351403061229,0.0,0.000468351403061229,0.0
2015-01-20,0.0011952310281979628,0.0,0.0011952310281979628,0.0,0.0011952310281979628,0.0,0.0011952310281979628,0.0,0.0011952310281979628,0.0,0.0011952310281979628,0.0
2015-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-23,2.9871849764440128e-05,0.0,2.9871849764440128e-05,0.0,2.9871849764440128e-05,0.0,2.9871849764440128e-05,0.0,2.9871849764440128e-05,0.0,2.9871849764440128e-05,0.0
2015-01-26,6.969890074848273e-05,0.0,6.969890074848273e-05,0.0,6.969890074848273e-05,0.0,6.969890074848273e-05,0.0,6.969890074848273e-05,0.0,6.969890074848273e-05,0.0
2015-01-27,0.00012943179442270747,0.0,0.00012943179442270747,0.0,0.00012943179442270747,0.0,0.00012943179442270747,0.0,0.00012943179442270747,0.0,0.00012943179442270747,0.0
2015-01-28,0.00011946004061647031,0.0,0.00011946004061647031,0.0,0.00011946004061647031,0.0,0.00011946004061647031,0.0,0.00011946004061647031,0.0,0.00011946004061647031,0.0
2015-01-29,0.00014930721452444118,0.0,0.00014930721452444118,0.0,0.00014930721452444118,0.0,0.00014930721452444118,0.0,0.00014930721452444118,0.0,0.00014930721452444118,0.0
2015-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-02,0.00021901879579466765,0.0,0.00021901879579466765,0.0,0.00021901879579466765,0.0,0.00021901879579466765,0.0,0.00021901879579466765,0.0,0.00021901879579466765,0.0
2015-02-03,0.0003782223549317898,0.0,0.0003782223549317898,0.0,0.0003782223549317898,0.0,0.0003782223549317898,0.0,0.0003782223549317898,0.0,0.0003782223549317898,0.0
2015-02-04,0.0003979782703864565,0.0,0.0003979782703864565,0.0,0.0003979782703864565,0.0,0.0003979782703864565,0.0,0.0003979782703864565,0.0,0.0003979782703864565,0.0
2015-02-05,0.0001591279786767874,0.0,0.0001591279786767874,0.0,0.0001591279786767874,0.0,0.0001591279786767874,0.0,0.0001591279786767874,0.0,0.0001591279786767874,0.0
2015-02-06,5.9663497872008975e-05,0.0,5.9663497872008975e-05,0.0,5.9663497872008975e-05,0.0,5.9663497872008975e-05,0.0,5.9663497872008975e-05,0.0,5.9663497872008975e-05,0.0
2015-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-11,0.0001392425206874215,0.0,0.0001392425206874215,0.0,0.0001392425206874215,0.0,0.0001392425206874215,0.0,0.0001392425206874215,0.0,0.0001392425206874215,0.0
2015-02-12,0.0008055052805344687,0.0,0.0008055052805344687,0.0,0.0008055052805344687,0.0,0.0008055052805344687,0.0,0.0008055052805344687,0.0,0.0008055052805344687,0.0
2015-02-13,0.0014308568248890818,0.0,0.0014308568248890818,0.0,0.0014308568248890818,0.0,0.0014308568248890818,0.0,0.0014308568248890818,0.0,0.0014308568248890818,0.0
2015-02-16,0.001031920065884151,0.0,0.001031920065884151,0.0,0.001031920065884151,0.0,0.001031920065884151,0.0,0.001031920065884151,0.0,0.001031920065884151,0.0
2015-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
