,hs300,zz500,zz1000,cyb,kc50,hongli
2013-01-04,-0.03099033912709592,-0.04356646429440558,-0.03765750923341089,-0.10158295172934052,,-0.022312703350886736
2013-01-07,-0.03512226192429054,0.02124700115429427,0.07023708009192511,0.0843761815183401,,-0.02587190407804678
2013-01-08,-0.02671453490240634,0.03261032344532836,0.07050904342428932,0.10093658402010462,,-0.01865054806614832
2013-01-09,-0.03139790237236012,-0.009518742573487258,-0.0043578371293017115,-0.015800486390004746,,-0.02115202312505347
2013-01-10,-0.03306557100128382,0.008869001315654698,0.029618461991687828,0.0293784720015438,,-0.022300203835801627
2013-01-11,-0.01252483370316377,-0.1307476666325313,-0.12263704684277794,-0.10931313187750914,,-0.013138529834922811
2013-01-14,-0.06559471045807408,0.12010661524973718,0.18549568938213412,0.20295725713778,,-0.0394547275050708
2013-01-15,-0.036479856284541194,0.05972508552207644,0.09559376994698995,0.11109152971716285,,-0.022850317824359676
2013-01-16,-0.02306297860136739,-0.01845434625318713,-0.017359714732982385,-0.05661229776860659,,-0.016400387706478118
2013-01-17,-0.02104639859315351,-0.06956185165867194,-0.07764943915903395,-0.0734238041284931,,-0.018671657681480023
2013-01-18,-0.04607758696400482,0.05006566452043242,0.07482845798297465,0.1185224298727645,,-0.028809897990480702
2013-01-21,-0.03598133120427628,0.013298687218585669,0.033659103089677844,0.013075260951369835,,-0.026116128388193115
2013-01-22,-0.02523095684519514,-0.08589667472294849,-0.1216935365321799,-0.15444941469612924,,-0.020746878512596812
2013-01-23,-0.034637254046564064,-0.011338136859997428,0.007434027068180551,-0.000566066871486743,,-0.02405658932672728
2013-01-24,-0.02147797659281356,-0.10715067095817027,-0.14924526558735798,-0.17907025496001797,,-0.019278725766499746
2013-01-25,-0.026757606416845523,-0.02657110671693992,-0.017596479844571185,0.012702136554703184,,-0.019992838965160624
2013-01-28,-0.05995451015802353,0.08707316505804831,0.13205049424866172,0.1389711726832632,,-0.038855475827749
2013-01-29,-0.03889160777621223,0.021133734149911067,0.03996567202745705,0.025565643412758313,,-0.027497851558823654
2013-01-30,-0.03503485789038785,0.0030418793162750404,-0.01636905794295882,-0.08527589539646643,,-0.023747878177847726
2013-01-31,-0.029951275173307066,-0.04580941799023845,-0.04566861312016419,-0.0847108377126877,,-0.023588470136479113
2013-02-01,-0.050631375713474897,0.015893996111784377,0.01863434503530182,0.022848851754025803,,-0.03465034781125457
2013-02-04,-0.032207996641269956,-0.04999882884267236,-0.06535047663438165,-0.10787325862183025,,-0.02375109325874886
2013-02-05,-0.03910097251990613,0.026766981148499153,0.037938063096015114,0.04486608658741799,,-0.02304132997482808
