,年化,夏普,最大回撤,卡玛,均|仓|
熊增强·多空(定稿),28.2%,1.38,-17.9%,1.57,60.1%
熊增强·纯多(禁空),17.6%,1.11,-18.3%,0.96,29.8%
仅量价·多空,27.4%,1.35,-17.9%,1.53,60.3%
持有512100,4.1%,0.19,-46.3%,0.09,
,,,,,
2018·多空,33.3%,1.52,-9.2%,3.60,
2018·纯多,0.1%,-0.27,-9.9%,0.01,
2018·持有,-35.8%,-1.87,-40.0%,-0.89,
,,,,,
2019·多空,45.4%,2.31,-7.8%,5.80,
2019·纯多,39.4%,2.59,-5.2%,7.62,
2019·持有,35.0%,1.20,-19.3%,1.82,
,,,,,
2020·多空,44.9%,1.95,-8.9%,5.02,
2020·纯多,31.4%,1.97,-7.3%,4.31,
2020·持有,31.5%,1.02,-15.9%,1.98,
,,,,,
2021·多空,15.3%,0.90,-7.1%,2.15,
2021·纯多,19.3%,1.56,-7.7%,2.51,
2021·持有,24.4%,1.09,-10.4%,2.34,
,,,,,
2022·多空,3.1%,0.14,-10.5%,0.30,
2022·纯多,-3.8%,-0.39,-10.4%,-0.37,
2022·持有,-22.3%,-0.97,-33.9%,-0.66,
,,,,,
2023·多空,26.9%,2.32,-6.2%,4.37,
2023·纯多,9.0%,0.96,-7.1%,1.27,
2023·持有,-5.3%,-0.46,-19.5%,-0.27,
,,,,,
2024·多空,16.7%,0.64,-17.2%,0.97,
2024·纯多,15.2%,0.64,-17.6%,0.86,
2024·持有,2.0%,0.16,-26.2%,0.07,
,,,,,
2025·多空,48.9%,2.77,-4.3%,11.28,
2025·纯多,32.2%,2.96,-3.0%,10.60,
2025·持有,29.4%,1.26,-16.1%,1.82,
,,,,,
2026·多空,25.1%,1.26,-7.9%,3.19,
2026·纯多,27.9%,1.81,-7.2%,3.90,
2026·持有,3.2%,0.19,-14.1%,0.23,
,,,,,
