库,h,在役因子,年化,夏普,回撤,卡玛,均仓,标的,成本,末日
h1,1,305,23.5,1.1,-19.2,1.22,50,512100,0.0005,2026-08-04
h5,5,444,27.3,1.22,-20.4,1.34,53,512100,0.0005,2026-08-04
