库,h,在役因子,年化,夏普,回撤,卡玛,均仓,标的,成本,末日
h1_s137,1,198,27.6,1.28,-16.1,1.71,50,512100,0.0005,2026-08-04
h1_s42,1,261,36.3,1.61,-18.5,1.96,51,512100,0.0005,2026-08-04
h5_s137,5,266,25.1,1.16,-24.4,1.03,52,512100,0.0005,2026-08-04
h5_s42,5,190,23.2,1.08,-25.9,0.9,53,512100,0.0005,2026-08-04
