库,h,在役因子,年化,夏普,回撤,卡玛,均仓,标的,成本,末日
h1,1,283,22.9,1.09,-18.8,1.22,53,512100,0.0005,2026-08-04
h2,2,351,23.4,1.07,-19.1,1.23,53,512100,0.0005,2026-08-04
h3,3,377,22.9,1.05,-22.0,1.04,53,512100,0.0005,2026-08-04
h4,4,399,24.5,1.12,-21.8,1.12,52,512100,0.0005,2026-08-04
h5,5,400,26.5,1.19,-22.6,1.17,55,512100,0.0005,2026-08-04
h6,6,413,18.3,0.83,-23.1,0.79,54,512100,0.0005,2026-08-04
h7,7,389,18.2,0.83,-33.0,0.55,54,512100,0.0005,2026-08-04
