库,h,在役因子,年化,夏普,回撤,卡玛,均仓,标的,成本,末日
h1_s137,1,408,22.4,1.05,-20.1,1.11,50,512100,0.0005,2026-08-04
h1_s42,1,357,26.0,1.2,-20.3,1.28,51,512100,0.0005,2026-08-04
h5_s137,5,478,21.6,1.01,-22.0,0.98,51,512100,0.0005,2026-08-04
h5_s42,5,423,25.4,1.14,-24.0,1.06,54,512100,0.0005,2026-08-04
