,收益
2018-01-02,-0.0013535648315829985
2018-01-03,-0.0017717752864512758
2018-01-04,-0.0029020303064156453
2018-01-05,0.0008052439439671863
2018-01-08,0.0005779446328786743
2018-01-09,-0.0006323766975712383
2018-01-10,0.0011800823817001978
2018-01-11,0.0059466933475127125
2018-01-12,-0.00711898013295771
2018-01-15,0.008612583679563447
2018-01-16,0.012108100039315343
2018-01-17,0.0011825386255650062
2018-01-18,-0.006948352526681678
2018-01-19,0.003164470841741046
2018-01-22,-0.0015518064124364222
2018-01-23,0.008062557448657423
2018-01-24,-0.005549066975641235
2018-01-25,0.006745763000442022
2018-01-26,3.366329044348394e-05
2018-01-29,-0.00024561665425496936
2018-01-30,0.0032726548258281444
2018-01-31,-0.0034239152657052694
2018-02-01,-0.003812904702786815
2018-02-02,-0.032395888903392484
2018-02-05,-0.01271319594087273
2018-02-06,-0.01244766522683438
2018-02-07,-0.027958039787559893
2018-02-08,-0.003922151151846064
2018-02-09,0.0012439512231534507
2018-02-12,-0.013302235973999871
2018-02-13,0.019146019733114604
2018-02-14,0.0013312925804867455
2018-02-22,0.006706154893278042
2018-02-23,0.004681690042799164
2018-02-26,0.002760671568802274
2018-02-27,0.010849606247633689
2018-02-28,0.0022941412807201507
2018-03-01,0.0002177838057341494
2018-03-02,-7.032362109287388e-05
2018-03-05,4.624112246915909e-05
2018-03-06,-0.0022252865911669443
2018-03-07,-0.0051183491837606095
2018-03-08,0.004109244575146417
2018-03-09,-0.001945960906010581
2018-03-12,-0.010086932501498641
2018-03-13,-0.0012220670148103381
2018-03-14,-0.0007224355242631297
2018-03-15,-0.002701859788575476
2018-03-16,-8.726344420486969e-05
2018-03-19,8.07930759857786e-05
2018-03-20,0.00048323951493117273
2018-03-21,-0.00233981756048953
2018-03-22,0.006474638953016966
2018-03-23,0.010782303726015572
2018-03-26,0.04001557302973484
2018-03-27,0.012605493380734595
2018-03-28,0.011685083346758857
2018-03-29,-0.0003069605232521444
2018-03-30,-0.0006024184137612023
2018-04-02,-0.003981336964215023
2018-04-03,0.0009521581652377432
2018-04-04,0.002419379369107559
2018-04-09,0.003873172995857998
2018-04-10,-0.0004713636915634515
2018-04-11,-9.009024224265572e-05
2018-04-12,-0.004983384007077313
2018-04-13,0.005026018349056687
2018-04-16,0.0011794277394837761
2018-04-17,-0.0011774820977160652
2018-04-18,0.02026024794715835
2018-04-19,-0.009204648509840213
2018-04-20,0.0003297112112490227
2018-04-23,0.0034854727404331166
2018-04-24,0.005283658638093306
2018-04-25,-0.006469838078623633
2018-04-26,0.0011444228890214946
2018-04-27,-0.0034718498614479433
2018-05-02,0.00025701620077024656
2018-05-03,-0.00042763674527066995
2018-05-04,0.0005291812558461444
2018-05-07,-0.00021422049476609243
2018-05-08,-0.009914475620642694
2018-05-09,0.0006346484020818975
2018-05-10,-0.0008352751536887835
2018-05-11,-0.0033818081293815723
2018-05-14,0.004922726230905613
2018-05-15,0.003258831836003647
2018-05-16,-0.0023493768073501635
2018-05-17,9.84149393742069e-05
2018-05-18,0.0014726135747867761
2018-05-21,-0.005214125754717576
2018-05-22,-0.0044043382994089055
2018-05-23,0.0020478583335907514
2018-05-24,0.003107741288228234
2018-05-25,-0.002020245614321141
2018-05-28,-0.002756056441190314
2018-05-29,0.003468424960974702
2018-05-30,0.004554252322140091
2018-05-31,0.013362783778999162
2018-06-01,0.011914764998571198
2018-06-04,-0.009159428791560344
2018-06-05,0.0012644764428377923
2018-06-06,0.00790771446110677
2018-06-07,0.0025265786496610865
2018-06-08,-0.008477913754549513
2018-06-11,-0.0060609563441857625
2018-06-12,-0.007560776327842054
2018-06-13,-0.0005220312250479964
2018-06-14,-0.008473157240526505
2018-06-15,-0.001361596690163091
2018-06-19,0.014397852819897208
2018-06-20,-0.030468619132348395
2018-06-21,0.008955217752130111
2018-06-22,-0.017191283790718753
2018-06-25,0.015462806541798263
2018-06-26,-0.010653042024456655
2018-06-27,0.012229799786223999
2018-06-28,-0.0077768651584767525
2018-06-29,-0.004952437446546798
2018-07-02,-0.008951022285321616
2018-07-03,-0.013957829836291062
2018-07-04,0.003536227918519723
2018-07-05,0.0001577492112786968
2018-07-06,-0.0027729977776580826
2018-07-09,-0.0008954160657893036
2018-07-10,-0.0025355479658439083
2018-07-11,0.0010044508130363562
2018-07-12,0.010582196677019094
2018-07-13,0.0010787960625944604
2018-07-16,0.001993710200357529
2018-07-17,-0.000707852578221163
2018-07-18,-0.0012313984209436934
2018-07-19,0.0031208872643555922
2018-07-20,0.015902583716845768
2018-07-23,-0.00996937611716914
2018-07-24,-0.010384741926783072
2018-07-25,-0.013065058366368574
2018-07-26,-0.0006930128562915631
2018-07-27,0.0016249471694216899
2018-07-30,0.005476070994766377
2018-07-31,0.012637703352055493
2018-08-01,-0.0019053511805262172
2018-08-02,0.01674016076666553
2018-08-03,0.014289861422655445
2018-08-06,-0.0006041705924602798
2018-08-07,0.011621919675993353
2018-08-08,-0.013545859594489429
2018-08-09,-0.010268701392504766
2018-08-10,0.009144573423636653
2018-08-13,0.0038912171195178693
2018-08-14,0.0022132060124935024
2018-08-15,0.0005700136332474822
2018-08-16,-0.0038573651752725627
2018-08-17,-0.0018294766144239195
2018-08-20,-0.015039312462782855
2018-08-21,0.0013786432470151275
2018-08-22,0.003982771841384237
2018-08-23,-0.0015315032215543092
2018-08-24,-0.00025133676862451756
2018-08-27,-0.0013521233061352489
2018-08-28,-0.004443929581837402
2018-08-29,-0.00030130321567018966
2018-08-30,-0.0009787015267156325
2018-08-31,0.0108751723404286
2018-09-03,-0.002852497759780028
2018-09-04,-0.0018671704672692216
2018-09-05,0.0008573616154410062
2018-09-06,-0.006620575092147604
2018-09-07,-0.0004990087504613143
2018-09-10,-5.73787125613899e-05
2018-09-11,0.0052219371472791275
2018-09-12,0.0013245729623495481
2018-09-13,-0.010118533246661638
2018-09-14,-0.0001460729099638269
2018-09-17,-0.0028374914416815526
2018-09-18,-0.002906882549214899
2018-09-19,0.009049425141705073
2018-09-20,0.012430305959134812
2018-09-21,0.004153104329350998
2018-09-25,0.0006675244430923683
2018-09-26,0.00026020540065401204
2018-09-27,-0.002155469940777771
2018-09-28,0.014085411316102742
2018-10-08,0.0025055642506900586
2018-10-09,0.01145082402790185
2018-10-10,-0.0017756347434509593
2018-10-11,-0.006981230654630491
2018-10-12,-0.033113586330750795
2018-10-15,-0.07154937916617593
2018-10-16,0.05354830378359109
2018-10-17,-0.012718239315317991
2018-10-18,-0.0016029362199765273
2018-10-19,-0.031010428226942728
2018-10-22,0.03817151813722076
2018-10-23,0.038522144137522835
2018-10-24,-0.0292129192834029
2018-10-25,-0.017592034770027402
2018-10-26,0.016298754644069147
2018-10-29,0.001466111141584631
2018-10-30,-0.008435733631647438
2018-10-31,0.0018208772408462544
2018-11-01,0.00035755268366697895
2018-11-02,0.009694600070855644
2018-11-05,-0.0012683508152335785
2018-11-06,0.0009265786780111941
2018-11-07,0.0001887443402791456
2018-11-08,-0.0022460758812407255
2018-11-09,-0.0005974169174872356
2018-11-12,-0.0012614656765256647
2018-11-13,-0.01842589208450858
2018-11-14,0.005631124283330461
2018-11-15,0.0007000429982619981
2018-11-16,-0.005228204313003439
2018-11-19,0.00019727872140114445
2018-11-20,0.003451232925265375
2018-11-21,0.023549641333142735
2018-11-22,0.007879159433468891
2018-11-23,-0.0006459799831052998
