加权方式,口径,年化%,夏普,最大回撤%,卡玛,均|仓|%
正典 (rank IC 加权),多空,19.5,1.02,-13.1,1.49,58.1
正典 (rank IC 加权),纯多,14.5,0.99,-14.9,0.98,28.1
截正等权,多空,19.8,1.05,-12.8,1.55,57.2
截正等权,纯多,14.8,1.05,-11.8,1.26,28.0
等权,多空,20.0,1.07,-13.4,1.49,57.4
等权,纯多,14.8,1.05,-12.1,1.22,28.4
纯等权,多空,20.2,1.08,-14.0,1.44,57.4
纯等权,纯多,14.6,1.04,-12.5,1.17,28.4
cos IC 加权,多空,16.0,0.84,-15.7,1.02,58.4
cos IC 加权,纯多,11.0,0.72,-17.5,0.62,28.0
