,多空收益,多空仓位,纯多收益,纯多仓位,持有收益,仅量价收益
2017-08-17,0.0019466104183024453,-0.45324474600825654,0.0021732327913065734,0.0,0.008055235903337232,0.0019466104183024453
2017-08-18,0.0029512897041211556,-0.6627920691587282,0.0003227604823803354,0.0,-0.005707762557077611,0.0029512897041211556
2017-08-21,-0.0052678093045794685,-0.8376784719947828,8.799718409013835e-05,0.0,0.008036739380022917,-0.0052678093045794685
2017-08-22,0.005916623012254039,-0.7548933452725749,0.0001270958596080174,0.0,-0.006833712984054663,0.005916623012254039
2017-08-23,0.004325402675306742,-0.5084988673712059,6.842753524027856e-05,0.0,-0.005733944954128489,0.004325402675306742
2017-08-24,0.0031945104361926456,-0.6627920691587282,0.000224817946336886,0.0,-0.005767012687427964,0.0031945104361926456
2017-08-25,-0.007160483296883956,0.3379570423970245,-1.261858061535055e-05,0.3379570423970245,0.010440835266821269,-0.007160483296883956
2017-08-28,0.0022982349080639865,0.27830227900221266,0.0022982349080639865,0.27830227900221266,0.006888633754305484,0.0022982349080639865
2017-08-29,-0.0004804218328288766,-0.8376784719947828,-6.158259683148519e-05,0.0,0.0,-0.0004804218328288766
2017-08-30,-0.0037318587583678197,-0.8755348612810272,5.861951052699155e-05,0.0,0.004561003420752607,-0.0037318587583678197
2017-08-31,-0.0023728282534812295,-0.9776492756785788,0.00035169644688903823,0.0,0.0034052213393871433,-0.0023728282534812295
2017-09-01,-0.008417240720696065,-0.9111270911804993,0.0002343818666563635,0.0,0.009049773755656076,-0.008417240720696065
2017-09-04,-0.005623987011433821,-0.8755348612810272,0.0002733814354478614,0.0,0.006726457399103047,-0.005623987011433821
2017-09-05,0.0031118833472288444,-0.9776492756785788,0.00012689240500174392,0.0,-0.0033407572383074013,0.0031118833472288444
2017-09-06,-0.008542902332584562,-0.9447450738962128,0.00010735687376772773,0.0,0.00893854748603351,-0.008542902332584562
2017-09-07,0.004376867619158901,-0.9111270911804993,0.00010734534950662677,0.0,-0.0044296788482834915,0.004376867619158901
2017-09-08,-0.0017618713082060884,-0.9776492756785788,0.00015612193122827023,0.0,0.0022246941045607205,-0.0017618713082060884
2017-09-11,-0.011774240450259318,-0.8376784719947828,0.0001170731707316186,0.0,0.01220865704772467,-0.011774240450259318
2017-09-12,0.00210615738351325,-0.9447450738962128,0.00017558919931337513,0.0,-0.002192982456140302,0.00210615738351325
2017-09-13,-0.0019221067599721115,-0.9776492756785788,8.777918657942863e-05,0.0,0.00219780219780219,-0.0019221067599721115
2017-09-14,0.004692958238172793,-0.9776492756785788,0.00020480012483048426,0.0,-0.004385964912280715,0.004692958238172793
2017-09-15,0.0012309690647624226,-0.9776492756785788,7.800312012462562e-05,0.0,-0.0011013215859030367,0.0012309690647624226
2017-09-18,-0.007327857077330517,-0.9111270911804993,0.00012674518368327448,0.0,0.007717750826901959,-0.007327857077330517
2017-09-19,0.0030278311607159305,-0.9111270911804993,1.9496787904138557e-05,0.0,-0.003282275711159688,0.0030278311607159305
2017-09-20,-0.006516059277494224,-0.8376784719947828,0.0002729497090161459,0.0,0.007683863885839637,-0.006516059277494224
2017-09-21,0.010777219602603175,-0.561935209500679,0.0004775316486536063,0.0,-0.011982570806100212,0.010777219602603175
2017-09-22,0.0017364061117756979,-0.6627920691587282,0.0003506721215664754,0.0,-0.0022050716648290836,0.0017364061117756979
2017-09-25,0.01009071946808017,-0.33795704239702445,0.0,0.0,-0.015469613259668558,0.01009071946808017
2017-09-26,-0.00039710938550335925,-0.09386031921040788,7.790968319953961e-05,0.0,0.001122334455667895,-0.00039710938550335925
2017-09-27,-0.0009667396267209069,0.15602576453798608,-7.801288226899305e-05,0.15602576453798608,0.008968609865470878,-0.0009667396267209069
2017-09-28,-0.0011429911732645385,-0.39633697601347384,-0.0009448226852578016,0.0,-0.005555555555555536,-0.00117144505826193
2017-09-29,-0.0023006868347330307,-0.33795704239702445,0.0012275078667665085,0.0,0.010055865921787754,-0.0028315428893571576
2017-10-09,-0.004436463634130524,0.031327727361609194,0.0001594794132497737,0.031327727361609194,0.01327433628318575,-0.004405135906768914
2017-10-10,0.00030349299000932104,-0.6627920691587282,0.0006348890245886852,0.0,0.008733624454148492,-0.00021160152082440998
2017-10-11,0.0032013781872086084,-0.7099815003377987,0.00021394326613566328,0.0,-0.0043290043290042934,0.003439352015689124
2017-10-12,0.002567192886309814,-0.8376784719947828,0.00018472966272264912,0.0,-0.003260869565217428,0.002567192886309814
2017-10-13,-0.002220978679404245,-0.9776492756785788,0.00032078699743376404,0.0,0.0032715376226826187,-0.002220978679404245
2017-10-16,0.018815614148908356,0.031327727361609194,8.151314423930826e-05,0.031327727361609194,-0.019565217391304346,0.018815614148908356
2017-10-17,5.258736478502265e-05,0.45324474600825654,5.258736478502265e-05,0.45324474600825654,0.0,5.258736478502265e-05
2017-10-18,-0.004047536116187093,0.5084988673712059,-0.004047536116187093,0.5084988673712059,-0.008869179600886956,-0.004047536116187093
2017-10-19,-0.0039672102880932685,0.5084988673712059,-0.0039672102880932685,0.5084988673712059,-0.007829977628635354,-0.0039672102880932685
2017-10-20,0.0044756404292470384,0.9111270911804993,0.0044756404292470384,0.9111270911804993,0.00901916572717032,0.0044756404292470384
2017-10-23,0.005062866325196988,0.837678471994783,0.005062866325196988,0.837678471994783,0.005586592178770999,0.005062866325196988
2017-10-24,-0.005611728005421255,0.7548933452725749,-0.005611728005421255,0.7548933452725749,-0.00666666666666671,-0.005611728005421255
2017-10-25,0.003874496874285262,0.031327727361609194,0.003874496874285262,0.031327727361609194,0.005592841163311046,0.003874496874285262
2017-10-26,-0.00010035188192957759,-0.6627920691587282,0.00023104415264978652,0.0,0.006674082313681939,-0.00010035188192957759
2017-10-27,0.00428836080613822,-0.031327727361609055,0.00012622829844244343,0.0,-0.006629834254143652,0.0042570330787766114
2017-10-30,0.00041234411273685385,0.9776492756785788,-0.0003431949837583529,0.9776492756785788,-0.024471635150166926,-0.001098734080253563
2017-10-31,0.005578383349361701,0.9776492756785788,0.005578383349361701,0.9776492756785788,0.005701254275940704,0.005578383349361701
2017-11-01,0.0010632455074203772,0.8755348612810275,0.0010632455074203772,0.8755348612810275,0.0011337868480725266,0.0010632455074203772
2017-11-02,-0.007921178212561735,0.9111270911804993,-0.007921178212561735,0.9111270911804993,-0.009060022650056676,-0.007921178212561735
2017-11-03,-0.008307456893011185,0.9447450738962128,-0.008307456893011185,0.9447450738962128,-0.00914285714285712,-0.008307456893011185
2017-11-06,0.007611247457671136,0.9776492756785788,0.007611247457671136,0.9776492756785788,0.008073817762399127,0.007611247457671136
2017-11-07,0.0055605650543239125,0.9111270911804993,0.0055605650543239125,0.9111270911804993,0.005720823798627039,0.0055605650543239125
2017-11-08,0.002994098574891875,0.6627920691587285,0.002994098574891875,0.6627920691587285,0.0034129692832765013,0.002994098574891875
2017-11-09,0.0027753618428541615,0.15602576453798608,0.0027753618428541615,0.15602576453798608,0.0045351473922903285,0.002806140995830576
2017-11-10,0.0004178723650999315,-0.6134082379326439,0.0007245764840662534,0.0,0.004514672686230181,0.0006578474023902288
2017-11-13,-0.0006606018207121534,-0.8376784719947828,8.724142610638808e-05,0.0,0.0011235955056179137,-0.0006192092573510494
2017-11-14,0.006384663070153905,-0.33795704239702445,2.9077938568100592e-05,0.0,-0.007856341189674487,0.005682294572796205
2017-11-15,0.002181829336255158,0.5084988673712059,-2.1632689157034227e-05,0.5084988673712059,-0.006787330316742057,0.0009956470358249109
2017-11-16,-0.0012180405660728968,0.21758407049081485,-0.0012180405660728968,0.21758407049081485,-0.002277904328018221,-0.0011286641133115673
