,hs300,zz500,zz1000,cyb,kc50,hongli
2013-01-04,1.402755552628389,1.5340247322647804,1.7808447427384413,1.676145328869622,,1.5996427240882358
2013-01-07,1.393274714323388,1.5208582851707058,1.782773143260205,1.6915395099609805,,1.5990050196782515
2013-01-08,1.3834436656339797,1.5139987990105412,1.7831795819944598,1.7044461170131702,,1.5983677419380284
2013-01-09,1.3731607141935256,1.488844740726724,1.7795212351815106,1.6765325787753877,,1.5977308906508219
2013-01-10,1.3634125360329175,1.4723274617372877,1.7777660793941716,1.6595279847496711,,1.5970944655999753
2013-01-11,1.3722537174577882,1.5485072510102262,1.7839478687990689,1.6535685725546074,,1.5964584665689219
2013-01-14,1.441448764634512,1.7073817322316334,1.8113039213111548,1.8059129442156552,,1.5958228933411838
2013-01-15,1.4328926102269226,1.7031074241103965,1.8082380956704058,1.812604869834513,,1.5951877457003723
2013-01-16,1.4235955899831478,1.6588157468332534,1.8002573221275946,1.7843060342780217,,1.594553023430187
2013-01-17,1.4166173267887021,1.6385769293486485,1.7963603984116048,1.7570741612577399,,1.5939187263144172
2013-01-18,1.420941155608784,1.6440489609523405,1.7966261552488096,1.7952753203311966,,1.5932848541369395
2013-01-21,1.4119287660128603,1.6117890612615449,1.79159603592735,1.7645898216415965,,1.5926514066817214
2013-01-22,1.4020923416527677,1.6130447220976243,1.7952823398109417,1.783613496304111,,1.592018383732817
2013-01-23,1.392321327549552,1.578815091748539,1.7901676267912427,1.7565628801001067,,1.5913857850743698
2013-01-24,1.3861977404371615,1.6078595728339622,1.7985074164544665,1.7965885230490346,,1.5907536104906115
2013-01-25,1.376690493990444,1.572661343233954,1.7921733988937594,1.773429534009071,,1.5901218597658624
2013-01-28,1.4208334460929761,1.635924790477804,1.801872613868159,1.822891162539722,,1.5894905326845312
2013-01-29,1.4147468349460703,1.6070838351978554,1.7959409663508448,1.7926466985598177,,1.5888596290311146
2013-01-30,1.4051028524318234,1.5753172953318149,1.7900430262324323,1.7712713935768378,,1.5882291485901974
2013-01-31,1.3941828697108987,1.5486523611384655,1.785845775292782,1.74680777914673,,1.587599091146453
2013-02-01,1.4085465501873056,1.530751470880753,1.7825863521734147,1.7262974892672958,,1.5869694564846422
2013-02-04,1.3978481947645398,1.510429878194907,1.7811028260417432,1.7169515728565667,,1.5863402443896135
2013-02-05,1.3916145151789119,1.5038715661580326,1.7800523920013758,1.7077772702581153,,1.585711454646305
2013-02-06,1.3813043263277875,1.4853230997029314,1.7776887367002991,1.6958801864203725,,1.5850830870397405
2013-02-07,1.3726162301004003,1.464600489172902,1.775515317222315,1.6996314746357954,,1.5844551413550332
2013-02-08,1.3638182158908347,1.475846217804178,1.777812126991629,1.7149346384250623,,1.5838276173773824
2013-02-18,1.3619568583232347,1.4574791344727611,1.7772625355313192,1.7044196695621638,,1.5832005148920765
2013-02-19,1.3717430154801227,1.48952631819903,1.780688005308825,1.7173026175758588,,1.5825738336844908
2013-02-20,1.364130023740865,1.5409226045226456,1.7892668378457663,1.852690167250961,,1.5819475735400874
2013-02-21,1.4161388661513534,1.5812234029320378,1.7929344581455264,1.8453839009498527,,1.5813217342444168
2013-02-22,1.4064711181620286,1.5490765654895629,1.7875323802009504,1.8102258798436939,,1.5806963155831166
2013-02-25,1.396205174140467,1.539511105515636,1.7866698126386713,1.8191608133743298,,1.5800713173419114
2013-02-26,1.3960473477884494,1.5469969328228894,1.7862817498553352,1.7899040228778995,,1.5794467393066127
2013-02-27,1.3917376505074914,1.5185616109946982,1.7821432543174638,1.7600085945148942,,1.5788225812631196
2013-02-28,1.4326922429282534,1.5555939560561538,1.7863998544303705,1.765193648460256,,1.578198842997418
2013-03-01,1.4210368094365553,1.5404856195288246,1.7865723132853215,1.8033143237682525,,1.5775755242955811
2013-03-04,1.5181876501545368,1.6938343743035271,1.8032654013509588,1.839858710014085,,1.5769526249437686
2013-03-05,1.5491952089154253,1.7347742873754697,1.811064338312231,1.8998888808351102,,1.576330144728227
2013-03-06,1.5406437074748691,1.7145330289590572,1.8072871025311341,1.8808732151482566,,1.5757080834352892
2013-03-07,1.532063579089775,1.6911799180058364,1.8032409756313095,1.9263806106909975,,1.575086440851376
2013-03-08,1.5186970041551866,1.6607951693548784,1.797547997669841,1.8983417835881866,,1.574465216762994
2013-03-11,1.5060387461769347,1.6206294027407795,1.7914035785418705,1.8651699711547713,,1.5738444109567358
2013-03-12,1.502046214201301,1.6697864122910424,1.802431464837631,1.9367938942221081,,1.5732240232192813
2013-03-13,1.494370185319259,1.6355426812734686,1.7958705478982089,1.8976725883311747,,1.572604053337397
2013-03-14,1.4814389996067283,1.6017434506807733,1.7903959546310553,1.8707360363924814,,1.5719845010979345
2013-03-15,1.4687774352640315,1.5676342840727617,1.7854821169927553,1.8518744475867512,,1.5713653662878329
2013-03-18,1.4666624920429627,1.559230239746408,1.7843002807704584,1.8171773866925185,,1.5707466486941166
2013-03-19,1.458505859286081,1.5316945403005793,1.7805683945751352,1.79405668289329,,1.570128348103897
2013-03-20,1.5064412256313509,1.6033169503827165,1.7914412604666976,1.8477296059698674,,1.5695104643043702
2013-03-21,1.4931144745011053,1.5803754043451106,1.7887349897178249,1.8389922466720678,,1.56889299708282
2013-03-22,1.4799193272300057,1.5499755717993917,1.7841163211368531,1.804555995162997,,1.5682759462266145
2013-03-25,1.4670531606263149,1.5220658387941022,1.7803643439611578,1.7713583939621627,,1.5676593115232085
