,收益
2018-01-02,-0.007546963952654254
2018-01-03,-0.008462578402668026
2018-01-04,0.0005443123050430582
2018-01-05,-0.0019107953055278514
2018-01-08,0.0016316367209007999
2018-01-09,0.00047116935760878017
2018-01-10,-0.0014509452840408442
2018-01-11,0.004970555114500961
2018-01-12,-0.0038947339261512855
2018-01-15,0.009109697582079067
2018-01-16,0.015074881427324837
2018-01-17,-0.0005849773236618958
2018-01-18,0.002073240041255852
2018-01-19,-0.00019571417139351813
2018-01-22,-0.0024852378401900885
2018-01-23,0.008043771135965206
2018-01-24,0.001038065409412757
2018-01-25,-0.001699537981460062
2018-01-26,0.0003187433458841792
2018-01-29,2.5711826814088805e-05
2018-01-30,0.013485405977539092
2018-01-31,0.005846539186543738
2018-02-01,0.007239192186480909
2018-02-02,0.031856215989655975
2018-02-05,0.009196944249836423
2018-02-06,0.008467565126093975
2018-02-07,0.004693824473568731
2018-02-08,0.0016030505168564758
2018-02-09,-0.000249924493073764
2018-02-12,0.006227874361665234
2018-02-13,-0.022080792924270783
2018-02-14,0.001322892023124892
2018-02-22,-0.0037951335126739723
2018-02-23,0.006479490163181686
2018-02-26,0.00487476342594895
2018-02-27,0.020141398622410215
2018-02-28,0.005057265179029705
2018-03-01,0.0011341797300386126
2018-03-02,0.008629636150919212
2018-03-05,-0.00010239211176720361
2018-03-06,0.001185282344212115
2018-03-07,-0.0034978357142765024
2018-03-08,0.005530537469547525
2018-03-09,-0.0030178555028581677
2018-03-12,-0.012547158356558119
2018-03-13,-0.013222810181200447
2018-03-14,-0.0034086484197321876
2018-03-15,-0.007587107351216329
2018-03-16,0.0006324756757617214
2018-03-19,-0.0001550523085872377
2018-03-20,0.0004075310894137468
2018-03-21,-0.0003545351260637394
2018-03-22,-0.0034907488358532184
2018-03-23,-0.004353430995679363
2018-03-26,-0.0016276801441639207
2018-03-27,0.009627201154788436
2018-03-28,0.015743586275119282
2018-03-29,-2.0104840400757773e-05
2018-03-30,0.0051431301548350615
2018-04-02,0.009457329638211416
2018-04-03,-0.00028916759399674226
2018-04-04,0.002669436126889017
2018-04-09,0.004981207111093894
2018-04-10,-0.0005346533715440253
2018-04-11,-1.6452100891183043e-05
2018-04-12,-0.004783519361499837
2018-04-13,0.005203699813262671
2018-04-16,0.0011474404864644126
2018-04-17,-0.0010298673679076658
2018-04-18,0.0210017711630665
2018-04-19,-0.010203802425066586
2018-04-20,-0.0006861563304422183
2018-04-23,0.016100279928230623
2018-04-24,0.009223379045402836
2018-04-25,-0.009531876250885682
2018-04-26,-0.0004332460192867334
2018-04-27,0.011221483409175208
2018-05-02,0.0010116941785858159
2018-05-03,-0.0021085092201814596
2018-05-04,0.006868356017211292
2018-05-07,0.0010409569083976815
2018-05-08,0.010695931571009185
2018-05-09,0.003225927308066673
2018-05-10,0.0006166708618897641
2018-05-11,0.0015907288582451642
2018-05-14,-0.0028105087920669205
2018-05-15,0.0011694957335889793
2018-05-16,-0.002191183423813912
2018-05-17,-0.0007193132962035994
2018-05-18,-0.0027312283142210646
2018-05-21,0.002446516221574084
2018-05-22,-0.003646398337885214
2018-05-23,-0.0009424505248180389
2018-05-24,0.005010966287098926
2018-05-25,0.0006043561218858659
2018-05-28,0.0016209595729167426
2018-05-29,-0.00637303072992244
2018-05-30,-0.007864892115825813
2018-05-31,-0.017908001035646843
2018-06-01,0.009263799094577215
2018-06-04,-0.007427342043565661
2018-06-05,0.0010780197021188042
2018-06-06,0.007891262360215588
2018-06-07,0.002497961458224628
2018-06-08,-0.009343095836336393
2018-06-11,-0.007664291363667604
2018-06-12,-0.008320990885408485
2018-06-13,0.0035639910854542564
2018-06-14,-0.008751383966468532
2018-06-15,-0.005298248979368948
2018-06-19,-0.019908776629861
2018-06-20,-0.0506097762020432
2018-06-21,0.008335287662226062
2018-06-22,-0.017774345838157454
2018-06-25,0.01636482854328006
2018-06-26,-0.006215909717387712
2018-06-27,0.010777645452908997
2018-06-28,-0.0042006966630685465
2018-06-29,-0.008251707334717156
2018-07-02,0.0053136845543904675
2018-07-03,0.0027677353199435876
2018-07-04,0.00856212003984773
2018-07-05,-0.008294374131970511
2018-07-06,-0.017324751425990284
2018-07-09,-0.0029386679899760355
2018-07-10,0.0047852523868728205
2018-07-11,0.01089250846758696
2018-07-12,-0.008458411073458292
2018-07-13,0.011960985762883673
2018-07-16,0.0018843042756413347
2018-07-17,0.00017465830404757288
2018-07-18,-5.8212850458646294e-05
2018-07-19,0.0005123451166941151
2018-07-20,0.004675081868398214
2018-07-23,-0.001108127762488775
2018-07-24,-0.0055020949911394985
2018-07-25,-0.009467094572049686
2018-07-26,-0.0005076928805300874
2018-07-27,0.0015087569640814895
2018-07-30,0.0059429173634552735
2018-07-31,0.01621721520792886
2018-08-01,-0.001922160171884074
2018-08-02,0.017470367950170342
2018-08-03,0.02037574238758847
2018-08-06,0.0017340043777385222
2018-08-07,0.0017979187332961646
2018-08-08,0.004412465084641444
2018-08-09,0.003402891060372617
2018-08-10,-0.01035199772226143
2018-08-13,-0.005094974443545647
2018-08-14,-0.0013093174656238643
2018-08-15,-0.0014687728838619397
2018-08-16,0.01373549272693896
2018-08-17,-0.002684437989384466
2018-08-20,-0.011950253688871641
2018-08-21,0.0031079806895524835
2018-08-22,0.009651557417073511
2018-08-23,-0.003192048811639569
2018-08-24,0.0015117867630843964
2018-08-27,0.002805500252119452
2018-08-28,0.014310328310871189
2018-08-29,-2.781898747148926e-05
