,收益
2018-01-02,0.0012048516915245504
2018-01-03,0.002462452594058775
2018-01-04,-0.0002247689477936749
2018-01-05,-0.000361405663639475
2018-01-08,0.0007000158087709322
2018-01-09,-0.00103261960013675
2018-01-10,0.0005021172486960749
2018-01-11,0.005744474523352225
2018-01-12,-0.005327315271928575
2018-01-15,0.00743146075745665
2018-01-16,0.01109086734269705
2018-01-17,0.00043275898118592493
2018-01-18,-0.0024114983221160003
2018-01-19,0.0004955098644408249
2018-01-22,-0.001271893386685475
2018-01-23,0.00503632456600805
2018-01-24,-0.003424634295870025
2018-01-25,0.000881097350905875
2018-01-26,7.073206548530059e-05
2018-01-29,-1.4178545864402797e-05
2018-01-30,0.007097260230605525
2018-01-31,0.0011714210253261886
2018-02-01,0.0037300203378857
2018-02-02,-0.01432989830590025
2018-02-05,-0.007231547867972624
2018-02-06,-0.00732289289662585
2018-02-07,-0.020313213964591903
2018-02-08,-0.0026205222440059002
2018-02-09,0.0008395973944864
2018-02-12,-0.009339104985356325
2018-02-13,0.0108331325421926
2018-02-14,0.0013166892692051502
2018-02-22,0.003977151841975276
2018-02-23,0.006055714187294775
2018-02-26,0.0039569052702745754
2018-02-27,0.012240322903954149
2018-02-28,0.002968719263604675
2018-03-01,0.0006898391973026001
2018-03-02,0.0036808609915180003
2018-03-05,4.471701190991679e-05
2018-03-06,2.304811773284638e-05
2018-03-07,-0.004200826046655575
2018-03-08,0.0028495436507025747
2018-03-09,-0.0040411042502875
2018-03-12,-0.0124183029864949
2018-03-13,-0.00037575620572919983
2018-03-14,-0.003156504176432125
2018-03-15,-0.004699384923366325
2018-03-16,1.1422264587807583e-05
2018-03-19,5.9192146675787284e-05
2018-03-20,0.0009676552852459
2018-03-21,-0.0017604829618401248
2018-03-22,0.00265245227849925
2018-03-23,0.005515329653633074
2018-03-26,0.024723703055199525
2018-03-27,0.00902806053979905
2018-03-28,0.013463609291923098
2018-03-29,-0.00017780899072003946
2018-03-30,0.0016450570647782749
2018-04-02,-0.003032930356909174
2018-04-03,0.0005010135429377751
2018-04-04,0.002792527169113
2018-04-09,0.006197601906133525
2018-04-10,-0.00058838809979525
2018-04-11,-1.7407127843806076e-05
2018-04-12,-0.004667270214988024
2018-04-13,0.004918292753454325
2018-04-16,0.001030829895724925
2018-04-17,-0.001116352232976175
2018-04-18,0.020485245481236
2018-04-19,-0.005452987347172775
2018-04-20,-0.000149911894684375
2018-04-23,0.008248881379898949
2018-04-24,0.002963670319843125
2018-04-25,-0.006508233996363375
2018-04-26,0.00044296266418867496
2018-04-27,0.0047754083596163
2018-05-02,0.000293818862862925
