,h1_固定40,h1_自适应,h5_固定40,h5_自适应
2018-01-02,0.005696021662064986,-0.004963659121504192,-0.007546963952654254,-0.0008827354970498429
2018-01-03,0.00769752229399841,0.0012840182903563987,-0.008462578402668026,-0.0018765489480265117
2018-01-04,0.007880278699640135,0.005387340309259343,0.0005443123050430582,-0.00482304691125958
2018-01-05,-0.0026361922220716244,-0.0022871530850899218,-0.0018831682448463766,0.000717294323479923
2018-01-08,0.0019609572515760817,0.00037062535879827535,0.001792928814660814,-0.00021409089911431957
2018-01-09,-0.0015309405925092773,-0.0014467298343591821,0.0005215977874378048,-1.8449441262793136e-05
2018-01-10,0.0012423184889624247,0.001300549709414649,-0.0012735508219060884,-0.0008017146014920634
2018-01-11,0.006407477855867907,0.006932151904791049,0.004970555114500961,0.006825780508729899
2018-01-12,-0.0054446176294981235,-0.006814161499945912,-0.0038947339261512855,-0.005122157837266889
2018-01-15,0.007383898798841215,0.00856429704836087,0.009109697582079067,0.010546560831229755
2018-01-16,0.012933169888902942,0.010456542824679366,0.015074881427324837,0.01769343129667029
2018-01-17,0.0010833963730132413,0.0010589936222150426,-0.0005849773236618958,-0.0008776026768768735
2018-01-18,-0.006382307682777035,-0.0064732733217065545,0.002073240041255852,0.005202745669933676
2018-01-19,0.0010545468329791361,0.0005196646848563075,-0.00019571417139351813,-0.0009154164421900201
2018-01-22,0.0018071400890087162,0.0016795077936547784,-0.0024852378401900885,-0.000534800902345037
2018-01-23,-0.00766427177406243,-0.015602132952873642,0.008012991982988792,-0.004567471738906469
2018-01-24,-0.005430209063399728,-0.0050530257158268406,0.0014169589962589526,0.0007481230490615309
2018-01-25,0.004770941397394131,0.0022826609517169454,-0.0022372631303994167,-0.006535608110791738
2018-01-26,-5.438343171892553e-06,-0.00017365598363691497,0.0003187433458841792,0.00048174960240383093
2018-01-29,-0.00015248848269036646,6.0764150802809005e-05,2.5711826814088805e-05,0.00044816804896079336
2018-01-30,0.0005514044551857838,0.003600552590183688,0.013485405977539092,0.015725901417023
2018-01-31,-0.0016926234823419815,0.0008441988599424148,0.0058465391865437375,0.006658309241615988
2018-02-01,0.002749607371690419,0.004410657338724571,0.007239192186480909,0.012970158004733341
2018-02-02,-0.037823723718056874,-0.033863896675853065,0.03187867191212335,0.03621540907143646
2018-02-05,-0.01271319594087273,-0.01271319594087273,0.009757759040807688,0.007940604238156018
2018-02-06,-0.01244766522683438,-0.01244766522683438,0.008467565126093975,0.007159846890390138
2018-02-07,-0.027974491888451077,-0.027958039787559893,0.004693824473568731,0.002500056928267946
2018-02-08,-0.004080928130670323,-0.0039410793464891855,0.0016315044018538672,-0.002718406006648941
2018-02-09,0.0012261551082037147,0.0011654776430214636,-0.0001587108486253047,0.0008153041016210864
2018-02-12,-0.01381175947779366,-0.013810772354201781,0.00624567047661497,-0.005991890176326196
