,h1_固定40,h1_修正版,h5_固定40,h5_修正版
2018-01-02,0.005696021662064986,0.0029435117510164554,-0.007546963952654254,-0.0014137513175361033
2018-01-03,0.00769752229399841,0.006763216641215277,-0.008462578402668026,-0.0027174922906550774
2018-01-04,0.007880278699640135,0.007132656381119023,0.0005443123050430582,-0.0010235681910231004
2018-01-05,-0.0026361922220716244,-0.002276966245745566,-0.0018831682448463766,-0.0010994705563271367
2018-01-08,0.0019609572515760817,0.0016533140974509272,0.001792928814660814,0.00030425673994391575
2018-01-09,-0.0015309405925092773,-0.001627904980395714,0.0005215977874378048,-0.0009417165316892503
2018-01-10,0.0012423184889624247,0.0012426753794290983,-0.0012735508219060884,-0.0007971322868495113
2018-01-11,0.006407477855867907,0.006825780508729899,0.004970555114500961,0.005369639400908128
2018-01-12,-0.0054446176294981235,-0.005040478356818782,-0.0038947339261512855,-0.005440074643723281
2018-01-15,0.007383898798841215,0.007429949436898138,0.009109697582079067,0.009641477647297315
2018-01-16,0.012933169888902942,0.011327193987919934,0.015074881427324837,0.015074881427324837
2018-01-17,0.0010833963730132413,0.0010589936222150426,-0.0005849773236618958,-0.0009507508361671303
2018-01-18,-0.006382307682777035,-0.0064732733217065545,0.002073240041255852,-0.0033679816198894956
2018-01-19,0.0010545468329791361,0.0005196646848563075,-0.00019571417139351813,0.002432762421526578
2018-01-22,0.0018071400890087162,0.0018363300558169409,-0.0024852378401900885,-0.0033243678973883146
2018-01-23,-0.00766427177406243,-0.008916045803243159,0.008012991982988792,0.012512192962043686
2018-01-24,-0.005430209063399728,-0.005404472549183746,0.0014169589962589526,0.0005069459890507164
2018-01-25,0.004770941397394131,0.005204334594301573,-0.0022372631303994167,-0.0037557879907155656
2018-01-26,-5.438343171892553e-06,-0.00012792365858251562,0.0003187433458841792,0.0003382484011508748
2018-01-29,-0.00015248848269036646,-5.773962188758804e-05,2.5711826814088805e-05,5.401551588796148e-05
2018-01-30,0.0005514044551857838,0.001573771666432336,0.013485405977539092,0.008227256865219443
2018-01-31,-0.0016926234823419815,-0.0008393588365263767,0.0058465391865437375,0.003916463758405953
2018-02-01,0.002749607371690419,0.0027660594725816023,0.007239192186480909,-0.0029685198705236247
2018-02-02,-0.037823723718056874,-0.03654775353511404,0.03187867191212335,0.013666460518901597
2018-02-05,-0.01271319594087273,-0.01271319594087273,0.009757759040807688,-0.0004692026206870093
2018-02-06,-0.01244766522683438,-0.01244766522683438,0.008467565126093975,-0.00230635373833651
2018-02-07,-0.027974491888451077,-0.027958039787559893,0.004693824473568731,-0.020430397115776284
2018-02-08,-0.004080928130670323,-0.0039410793464891855,0.0016315044018538672,-0.0018490661730581467
2018-02-09,0.0012261551082037147,0.0011832737579711996,-0.0001587108486253047,0.0005853034988867124
2018-02-12,-0.01381175947779366,-0.013241915215995645,0.00624567047661497,-0.0042569276922612975
2018-02-13,0.022102529559168124,0.022102529559168124,-0.02121223618072578,-0.006583050346373279
2018-02-14,0.0012830059492841682,0.0012830059492841682,0.001347257772450781,0.0013388740830739504
2018-02-22,0.005832186631116246,0.005857923145332228,-0.0037951335126739723,0.003494280865302956
2018-02-23,0.004657979784034876,0.005083184260780129,0.006479490163181685,0.007934650307436111
2018-02-26,0.003472491218785949,0.0034148473669803328,0.00487476342594895,0.00522718748659611
2018-02-27,0.009596994156608828,0.007086741998152321,0.020141398622410215,0.0201578507233014
2018-02-28,0.0035078891616456913,0.0035078891616456913,0.005057265179029705,0.004867430719563287
2018-03-01,0.0006816475690842335,0.0006508684161078191,0.0011341797300386126,0.001040502241869257
2018-03-02,0.0024674596374495684,0.0018473451461578573,0.008629636150919212,0.007699766116190526
2018-03-05,7.990464249186719e-05,9.013775646040543e-05,-0.00010239211176720361,-0.00019654090531571073
2018-03-06,6.264229484088555e-05,-0.0003341515279709137,0.0011276384924064989,-0.0015745583681884374
2018-03-07,-0.0033899374982060988,-0.005744968657496594,-0.004634792005052523,-0.00802311023244712
2018-03-08,0.002511085656321942,0.0030272719704397292,0.00597940265914167,0.007303194785291186
2018-03-09,-0.004851001674834998,-0.005733138515133137,-0.0035018152171499054,-0.006591568284173661
2018-03-12,-0.012132350587520775,-0.013803036661370319,-0.012581763462865714,-0.01662198400561134
2018-03-13,0.005039441988635501,0.005039441988635501,-0.014300430573590331,-0.014318357790311898
2018-03-14,-0.005702459141880757,-0.005702459141880757,-0.0038767957861089203,0.004388547908848393
2018-03-15,-0.006622485466396619,-0.006652312848094025,-0.007587107351216329,0.0012045126762814827
2018-03-16,-0.00033640398504912656,-0.0003474525093959315,0.0006623030574591273,-0.000174706645622897
2018-03-19,0.00016654512890419207,0.00014126483627604363,-0.00025274443609785927,0.00023653053074609008
2018-03-20,0.0015925173949628123,0.0015925173949628123,0.0005202642524468234,0.0013713399893671501
2018-03-21,-0.0024049746085212697,-0.0024049746085212697,-0.0003278169549990028,-0.002050120438945488
2018-03-22,0.006474638953016966,0.006492435067966702,-0.00311925082002481,0.004150862684644841
2018-03-23,0.010798755826906753,0.011236433904458866,-0.004322164699754964,0.008277581027333565
2018-03-26,0.03873683396995793,0.0386930903245302,-0.004215164522110541,0.03103793863884301
2018-03-27,0.010335989976136642,0.011608663130861546,0.009627201154788436,0.005647481448226082
2018-03-28,0.015762522916013,0.01746704733120556,0.015743586275119282,0.014806238548524864
2018-03-29,-0.0003393268864880948,-0.00033051651303108343,-2.010484040075783e-05,-4.374364542773429e-05
2018-03-30,0.00048133556294537066,0.0008314192439827367,0.005143130154835061,0.004660613676175879
2018-04-02,-0.01040764360872652,-0.00968037793431103,0.009457329638211416,0.00854334424118015
2018-04-03,0.0008694501718639349,0.0008402602050557102,-0.00028916759399674226,9.7423379623922e-05
2018-04-04,0.0019561467903628747,0.0017711165451664182,0.002669436126889017,0.002669436126889017
