,510300_择时收益,510300_仓位,510500_择时收益,510500_仓位,512100_择时收益,512100_仓位,159915_择时收益,159915_仓位,588000_择时收益,588000_仓位,510880_择时收益,510880_仓位
2015-01-05,0.0,0.0,0.0,0.0,0.0,0.03959004679038814,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-06,0.0001197556983751,0.0,0.0001197556983751,0.0,0.0001197556983751,0.4044336210972876,0.0001197556983751,0.0,0.0001197556983751,0.0,0.0001197556983751,0.0
2015-01-07,4.989223277740429e-05,0.0,4.989223277740429e-05,0.0,4.989223277740429e-05,-0.3226620559615897,4.989223277740429e-05,0.0,4.989223277740429e-05,0.0,4.989223277740429e-05,0.0
2015-01-08,0.0002294928208657,0.0,0.0002294928208657,0.0,0.0002294928208657,-0.3256273976718772,0.0002294928208657,0.0,0.0002294928208657,0.0,0.0002294928208657,0.0
2015-01-09,0.0,0.0,0.0,0.0,0.0,-0.1986065271660243,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-12,0.0,0.0,0.0,0.0,0.0,-0.23752081201970593,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-13,0.0001995171684523,0.0,0.0001995171684523,0.0,0.0001995171684523,0.13466097794934623,0.0001995171684523,0.0,0.0001995171684523,0.0,0.0001995171684523,0.0
2015-01-14,0.0002692944485447,0.0,0.0002692944485447,0.0,0.0002692944485447,-0.4319933676961487,0.0002692944485447,0.0,0.0002692944485447,0.0,0.0002692944485447,0.0
2015-01-15,0.0002293372154476,0.0,0.0002293372154476,0.0,0.0002293372154476,-0.3603473831606586,0.0002293372154476,0.0,0.0002293372154476,0.0,0.0002293372154476,0.0
2015-01-16,0.0003987558816489,0.0,0.0003987558816489,0.0,0.0003987558816489,0.06343617441829075,0.0003987558816489,0.0,0.0003987558816489,0.0,0.0003987558816489,0.0
2015-01-19,0.0004683514030612,0.0,0.0004683514030612,0.0,0.0004683514030612,0.020971984773623123,0.0004683514030612,0.0,0.0004683514030612,0.0,0.0004683514030612,0.0
2015-01-20,0.0011952310281979,0.0,0.0011952310281979,0.0,0.0011952310281979,0.669095721947083,0.0011952310281979,0.0,0.0011952310281979,0.0,0.0011952310281979,0.0
2015-01-21,0.0,0.0,0.0,0.0,0.0,0.6115685520314335,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-22,0.0,0.0,0.0,0.0,0.0,0.4526911598132348,0.0,0.0,0.0,0.0,0.0,0.0
