季度,事件,名称,明细
2015Q1,入库,"ts_decay_linear(abs(returns),5)",类库 IC=+0.123 方向=+1
2015Q1,入库,abs(returns),类库 IC=+0.109 方向=+1
2015Q1,入库,returns,类库 IC=+0.047 方向=+1
2015Q1,入库,"sub(close,ts_decay_linear(amount,244))",类库 IC=+0.036 方向=+1
2015Q1,入库,"ts_std(high,5)",类库 IC=+0.068 方向=+1
2015Q1,入库,"ts_slope(sub(low,high),10)",类库 IC=+0.083 方向=-1
2015Q1,入库,"ts_er(amount,3)",类库 IC=+0.027 方向=+1
2015Q1,入库,"delay(delay(close,40),60)",专属hs300 IC=+0.044 方向=-1
2015Q1,入库,"neg(div(div(volume,ts_min(volume,5)),ts_min(ts_min(high,40),244)))",专属zz500 IC=+0.016 方向=-1
2015Q1,入库,"slog(div(low,high))",专属zz500 IC=+0.229 方向=-1
2015Q1,入库,"div(volume,delta(ts_decay_linear(mul(low,low),40),244))",专属zz500 IC=+0.081 方向=+1
2015Q1,入库,"ts_min(returns,60)",专属zz500 IC=+0.109 方向=-1
2015Q1,入库,"slog(neg(ts_tsi(returns,5)))",专属zz500 IC=+0.068 方向=-1
2015Q1,入库,"add(add(ts_max(ts_max(low,244),244),ts_max(delay(beta120,120),244)),ts_rank(low,",专属zz1000 IC=+0.288 方向=-1
2015Q1,入库,"div(ts_max(delay(beta120,120),244),ssqrt(ts_slope(high,120)))",专属zz1000 IC=+0.117 方向=+1
2015Q1,入库,"ts_tsi(returns,244)",专属zz1000 IC=+0.077 方向=+1
2015Q1,入库,"mul(ts_max(delay(beta120,120),244),low)",专属zz1000 IC=+0.294 方向=-1
2015Q1,入库,"sub(amount,beta120)",专属zz1000 IC=+0.179 方向=-1
2015Q1,入库,"div(close,ts_rank(div(close,low),120))",专属cyb IC=+0.070 方向=-1
2015Q1,入库,"div(div(div(high,ts_rank(ts_zscore(returns,60),120)),ts_rank(div(close,low),120)",专属cyb IC=+0.151 方向=-1
2015Q1,入库,"div(ts_rank(ts_tsi(returns,40),60),open)",专属cyb IC=+0.065 方向=+1
2015Q1,入库,"div(amount,ts_rank(div(close,high),120))",专属cyb IC=+0.077 方向=-1
2015Q1,入库,"div(high,ts_rank(ts_zscore(delta(ts_rank(close,3),120),60),5))",专属cyb IC=+0.103 方向=-1
2015Q1,入库,"div(close,ts_rank(returns,3))",专属cyb IC=+0.186 方向=-1
2015Q1,入库,"div(div(close,ts_rank(div(close,low),120)),ts_zscore(div(close,low),60))",专属cyb IC=+0.092 方向=+1
2015Q1,入库,"ts_rank(ts_tsi(ts_corr(volume,returns,3),3),120)",专属cyb IC=+0.040 方向=+1
2015Q1,入库,"div(ts_rank(returns,120),ts_rank(div(close,low),120))",专属cyb IC=+0.063 方向=-1
2015Q1,入库,"abs(div(ts_sum(amount,244),mul(returns,ts_decay_linear(ts_tsi(entropy120,10),5))",专属hongli IC=+0.087 方向=-1
2015Q1,入库,"abs(div(ts_sum(ts_tsi(volume,10),244),mul(returns,volume)))",专属hongli IC=+0.106 方向=-1
2015Q1,入库,"abs(div(delay(mul(returns,amount),244),mul(returns,volume)))",专属hongli IC=+0.072 方向=-1
2015Q2,立即退役,"div(volume,delta(ts_decay_linear(mul(low,low),40),244))",IC=-0.026
2015Q2,入库,"ts_zscore(sub(high,low),244)",专属hs300 IC=+0.137 方向=+1
2015Q2,入库,"ts_er(amount,60)",专属hs300 IC=+0.045 方向=+1
2015Q2,入库,"ema(div(open,high),5)",专属zz500 IC=+0.095 方向=-1
2015Q2,入库,"div(ts_max(volume,244),mul(close,close))",专属zz500 IC=+0.249 方向=+1
2015Q2,入库,"ts_std(returns,3)",专属zz1000 IC=+0.142 方向=+1
2015Q2,入库,"ssqrt(ts_sum(mul(returns,returns),20))",专属zz1000 IC=+0.098 方向=+1
2015Q2,入库,"ssqrt(ts_argmax(volume,5))",专属zz1000 IC=+0.022 方向=-1
2015Q2,入库,"ts_std(returns,5)",专属zz1000 IC=+0.196 方向=+1
2015Q2,入库,"ts_min(abs(neg(returns)),60)",专属zz1000 IC=+0.036 方向=+1
2015Q2,入库,"ts_min(ts_sum(ts_std(slog(amount),20),20),244)",专属zz1000 IC=+0.028 方向=+1
2015Q2,入库,"ts_argmax(mul(ts_mean(close,3),div(low,volume)),60)",专属zz1000 IC=+0.082 方向=-1
2015Q2,入库,"ts_std(open,3)",专属zz1000 IC=+0.086 方向=+1
2015Q2,入库,"ssqrt(ts_tsi(ts_min(mul(returns,returns),5),244))",专属zz1000 IC=+0.067 方向=+1
2015Q2,入库,"ts_max(ts_tsi(mul(returns,returns),60),3)",专属zz1000 IC=+0.103 方向=+1
2015Q2,入库,"ts_tsi(ssqrt(ts_zscore(returns,5)),5)",专属cyb IC=+0.083 方向=+1
2015Q2,入库,"delta(ts_zscore(ts_zscore(neg(div(close,low)),10),5),5)",专属cyb IC=+0.116 方向=-1
2015Q2,入库,"ts_zscore(ts_zscore(ts_rank(ts_zscore(returns,120),10),5),5)",专属cyb IC=+0.166 方向=+1
2015Q2,入库,"ts_sum(div(low,high),3)",专属cyb IC=+0.073 方向=-1
2015Q2,入库,"ssqrt(ts_tsi(ts_zscore(ts_rank(ts_er(returns,120),10),5),5))",专属cyb IC=+0.108 方向=+1
2015Q2,入库,"ts_tsi(ts_zscore(ts_zscore(returns,120),5),10)",专属cyb IC=+0.130 方向=+1
2015Q2,入库,"ts_tsi(ssqrt(ts_std(returns,5)),5)",专属cyb IC=+0.112 方向=+1
2015Q2,入库,"ts_tsi(ssqrt(ts_argmin(returns,5)),5)",专属cyb IC=+0.063 方向=+1
2015Q3,黄牌退役,元老:AR系数,IC=-0.003
2015Q3,黄牌退役,"abs(div(delay(mul(returns,amount),244),mul(returns,volume)))",IC=-0.007
2015Q3,立即退役,"ts_min(ts_sum(ts_std(slog(amount),20),20),244)",IC=-0.099
2015Q3,入库,"ts_argmax(high,60)",专属hs300 IC=+0.040 方向=-1
2015Q3,入库,"mul(ts_min(ts_slope(low,40),244),ts_max(ts_min(ts_sum(high,40),244),60))",专属zz1000 IC=+0.032 方向=+1
2015Q3,入库,"ema(ts_corr(beta120,low,3),244)",专属zz1000 IC=+0.078 方向=-1
2015Q3,入库,"mul(ts_argmin(open,3),ts_max(ts_min(ts_sum(high,40),244),60))",专属zz1000 IC=+0.086 方向=-1
2015Q3,入库,"ts_std(returns,60)",专属zz1000 IC=+0.138 方向=+1
2015Q3,入库,"abs(delta(returns,40))",专属zz1000 IC=+0.140 方向=+1
2015Q3,入库,"ts_std(div(open,volume),3)",专属zz1000 IC=+0.171 方向=+1
2015Q3,入库,"ts_zscore(ts_zscore(ts_er(returns,5),5),3)",专属cyb IC=+0.110 方向=+1
2015Q3,入库,"ts_er(ts_er(ts_zscore(returns,5),10),5)",专属cyb IC=+0.131 方向=+1
2015Q3,入库,"ts_zscore(ts_zscore(delta(ts_zscore(ts_er(returns,5),5),5),5),5)",专属cyb IC=+0.118 方向=+1
2015Q3,入库,"delta(ts_er(amount,5),5)",专属cyb IC=+0.074 方向=-1
2015Q3,入库,"ts_zscore(ts_zscore(ts_er(ssqrt(ts_mean(volume,10)),5),120),10)",专属cyb IC=+0.070 方向=-1
2015Q3,入库,"ts_er(ts_er(ts_zscore(returns,5),5),20)",专属cyb IC=+0.115 方向=+1
2015Q3,入库,"delta(ts_zscore(ts_zscore(ts_zscore(ts_zscore(returns,5),10),5),5),5)",专属cyb IC=+0.184 方向=+1
2015Q3,入库,"mul(returns,delta(ssqrt(returns),60))",专属hongli IC=+0.121 方向=+1
2015Q3,入库,"mul(returns,ts_corr(ts_decay_linear(high,40),ts_max(returns,3),5))",专属hongli IC=+0.064 方向=+1
2015Q3,入库,"ts_zscore(ts_argmin(ts_tsi(ts_er(ts_zscore(beta120,5),60),40),244),40)",专属hongli IC=+0.024 方向=-1
2015Q3,入库,"ts_max(ts_argmax(volume,3),3)",专属hongli IC=+0.168 方向=-1
2015Q3,入库,"mul(returns,ts_zscore(open,5))",专属hongli IC=+0.083 方向=-1
2015Q3,入库,"ts_std(open,10)",专属hongli IC=+0.027 方向=+1
2015Q4,立即退役,元老:月动量20,IC=-0.027
2015Q4,立即退役,"ts_slope(sub(low,high),10)",IC=-0.036
2015Q4,立即退役,"delay(delay(close,40),60)",IC=-0.023
2015Q4,立即退役,"div(ts_max(delay(beta120,120),244),ssqrt(ts_slope(high,120))",IC=-0.034
2015Q4,立即退役,"abs(div(ts_sum(amount,244),mul(returns,ts_decay_linear(ts_ts",IC=-0.032
2015Q4,立即退役,"ts_max(ts_tsi(mul(returns,returns),60),3)",IC=-0.038
2015Q4,立即退役,"ts_tsi(ssqrt(ts_argmin(returns,5)),5)",IC=-0.022
2015Q4,立即退役,"mul(returns,ts_corr(ts_decay_linear(high,40),ts_max(returns,",IC=-0.034
2015Q4,入库,"delay(low,244)",专属hs300 IC=+0.024 方向=-1
2015Q4,入库,"div(high,open)",专属hs300 IC=+0.136 方向=+1
2015Q4,入库,"ts_max(div(abs(open),high),10)",专属zz500 IC=+0.023 方向=-1
2015Q4,入库,"ema(abs(returns),120)",专属zz1000 IC=+0.069 方向=+1
2015Q4,入库,"ts_std(abs(high),10)",专属zz1000 IC=+0.059 方向=+1
2015Q4,入库,"ts_er(div(low,close),5)",专属cyb IC=+0.072 方向=-1
2015Q4,入库,"div(low,high)",专属cyb IC=+0.047 方向=-1
2015Q4,入库,"mul(ts_std(close,3),ts_sum(volume,120))",专属cyb IC=+0.017 方向=+1
2015Q4,入库,"mul(mul(open,beta120),beta120)",专属cyb IC=+0.085 方向=-1
2015Q4,入库,"ts_rank(sub(close,low),3)",专属cyb IC=+0.199 方向=+1
2015Q4,入库,"ts_er(ts_rank(returns,3),40)",专属cyb IC=+0.109 方向=+1
2015Q4,入库,"mul(low,ts_sum(beta120,120))",专属cyb IC=+0.225 方向=-1
2015Q4,入库,"div(mul(low,ts_sum(beta120,120)),close)",专属cyb IC=+0.110 方向=-1
2015Q4,入库,"div(div(low,ts_std(mul(high,beta120),120)),entropy120)",专属hongli IC=+0.035 方向=-1
2015Q4,入库,"ema(ts_rank(ts_argmin(close,244),5),5)",专属hongli IC=+0.082 方向=+1
2015Q4,入库,"div(open,high)",专属hongli IC=+0.119 方向=-1
2015Q4,入库,"div(ts_max(sign(ts_tsi(beta120,3)),5),ts_std(returns,120))",专属hongli IC=+0.055 方向=-1
2016Q1,立即退役,"div(ts_rank(ts_tsi(returns,40),60),open)",IC=-0.029
2016Q1,立即退役,"ts_std(open,3)",IC=-0.056
2016Q1,立即退役,"ssqrt(ts_tsi(ts_min(mul(returns,returns),5),244))",IC=-0.053
2016Q1,立即退役,"ts_tsi(ssqrt(ts_zscore(returns,5)),5)",IC=-0.026
2016Q1,立即退役,"ts_er(ts_er(ts_zscore(returns,5),5),20)",IC=-0.027
2016Q1,黄牌退役,"mul(returns,ts_zscore(open,5))",IC=-0.001
2016Q1,立即退役,"ts_std(abs(high),10)",IC=-0.025
2016Q1,立即退役,"ts_er(div(low,close),5)",IC=-0.039
2016Q1,入库,"mul(ssqrt(ts_min(mul(div(entropy120,volume),div(open,beta120)),244)),ts_min(slog",专属zz500 IC=+0.204 方向=-1
2016Q1,入库,"mul(ssqrt(ts_min(mul(div(low,volume),high),120)),ts_min(slog(high),10))",专属zz500 IC=+0.142 方向=-1
2016Q1,入库,"abs(div(high,open))",专属zz500 IC=+0.144 方向=+1
2016Q1,入库,"mul(ssqrt(ts_min(ts_sum(ts_argmax(entropy120,5),10),244)),ts_min(slog(high),10))",专属zz500 IC=+0.153 方向=-1
2016Q1,入库,"abs(ts_decay_linear(delay(returns,60),40))",专属zz1000 IC=+0.126 方向=+1
2016Q1,入库,"ts_er(delay(volume,10),244)",专属zz1000 IC=+0.047 方向=+1
2016Q1,入库,"add(returns,ts_std(ts_rank(returns,120),20))",专属cyb IC=+0.121 方向=+1
2016Q1,入库,"div(ts_decay_linear(sub(close,returns),3),low)",专属cyb IC=+0.121 方向=+1
2016Q1,入库,"div(ts_std(returns,20),low)",专属cyb IC=+0.212 方向=+1
2016Q1,入库,"mul(ts_corr(low,amount,40),beta120)",专属cyb IC=+0.031 方向=-1
2016Q1,入库,"div(close,div(beta120,delta(returns,20)))",专属cyb IC=+0.039 方向=+1
2016Q1,入库,"ts_rank(div(close,low),3)",专属cyb IC=+0.157 方向=+1
2016Q1,入库,"div(open,ts_mean(sub(low,volume),244))",专属cyb IC=+0.234 方向=+1
2016Q1,入库,"div(ssqrt(div(close,abs(returns))),ts_corr(ts_zscore(close,40),low,10))",专属hongli IC=+0.049 方向=-1
2016Q1,入库,"div(ts_std(ts_tsi(open,20),10),ts_sum(abs(returns),120))",专属hongli IC=+0.033 方向=-1
2016Q1,入库,"div(abs(ts_argmax(abs(returns),120)),abs(div(close,abs(returns))))",专属hongli IC=+0.072 方向=+1
2016Q1,入库,"div(high,low)",专属hongli IC=+0.089 方向=+1
2016Q1,入库,"div(abs(div(delta(ts_tsi(high,5),60),abs(returns))),ts_sum(abs(returns),120))",专属hongli IC=+0.080 方向=-1
2016Q1,入库,"div(close,abs(ts_sum(abs(returns),3)))",专属hongli IC=+0.113 方向=-1
2016Q1,入库,"div(abs(div(close,abs(returns))),ts_sum(abs(div(entropy120,abs(returns))),120))",专属hongli IC=+0.080 方向=-1
2016Q2,立即退役,"neg(div(div(volume,ts_min(volume,5)),ts_min(ts_min(high,40),",IC=-0.024
2016Q2,黄牌退役,"ts_rank(ts_tsi(ts_corr(volume,returns,3),3),120)",IC=-0.017
2016Q2,立即退役,"ts_er(amount,60)",IC=-0.060
2016Q2,立即退役,"ts_tsi(ts_zscore(ts_zscore(returns,120),5),10)",IC=-0.060
2016Q2,立即退役,"ts_er(ts_er(ts_zscore(returns,5),10),5)",IC=-0.091
2016Q2,立即退役,"ts_zscore(ts_argmin(ts_tsi(ts_er(ts_zscore(beta120,5),60),40",IC=-0.082
2016Q2,立即退役,"ts_std(open,10)",IC=-0.045
2016Q2,立即退役,"mul(ts_corr(low,amount,40),beta120)",IC=-0.045
2016Q2,入库,"ts_std(ts_tsi(volume,5),120)",专属hs300 IC=+0.032 方向=+1
2016Q2,入库,"ts_std(ts_argmax(high,3),20)",专属hs300 IC=+0.032 方向=-1
2016Q2,入库,"ts_argmax(amount,20)",专属hs300 IC=+0.066 方向=-1
2016Q2,入库,"div(ts_mean(div(volume,low),120),high)",专属zz500 IC=+0.199 方向=+1
2016Q2,入库,"div(close,low)",专属zz500 IC=+0.076 方向=+1
2016Q2,入库,"mul(beta120,low)",专属zz500 IC=+0.209 方向=-1
2016Q2,入库,"add(ema(ts_er(volume,120),20),delta(ts_std(volume,120),10))",专属zz500 IC=+0.026 方向=+1
2016Q2,入库,"ts_mean(ts_argmax(ts_std(low,40),3),10)",专属zz1000 IC=+0.071 方向=-1
2016Q2,入库,"ema(ts_argmin(ts_argmin(amount,20),40),20)",专属zz1000 IC=+0.076 方向=-1
2016Q2,入库,"ts_rank(ts_zscore(neg(delta(returns,120)),3),5)",专属cyb IC=+0.058 方向=-1
2016Q2,入库,"ts_rank(ema(div(low,high),120),5)",专属cyb IC=+0.021 方向=-1
2016Q2,入库,"ts_zscore(ts_zscore(ts_er(slog(returns),40),3),3)",专属cyb IC=+0.128 方向=+1
2016Q2,入库,"ts_rank(ts_rank(ts_rank(ts_rank(returns,20),5),5),5)",专属cyb IC=+0.139 方向=+1
2016Q2,入库,"ts_std(ts_corr(amount,returns,10),244)",专属hongli IC=+0.037 方向=-1
2016Q2,入库,"ts_rank(abs(returns),3)",专属hongli IC=+0.034 方向=+1
2016Q2,入库,"ts_tsi(add(delta(amount,5),ema(high,120)),60)",专属hongli IC=+0.093 方向=+1
2016Q2,入库,"ts_corr(open,volume,20)",专属hongli IC=+0.018 方向=+1
2016Q2,入库,"ts_argmax(close,60)",专属hongli IC=+0.066 方向=-1
2016Q3,立即退役,元老:风险调整预期,IC=-0.053
2016Q3,立即退役,returns,IC=-0.033
2016Q3,立即退役,"delta(ts_zscore(ts_zscore(ts_zscore(ts_zscore(returns,5),10)",IC=-0.041
2016Q3,立即退役,"ts_max(div(abs(open),high),10)",IC=-0.031
2016Q3,立即退役,"ts_rank(sub(close,low),3)",IC=-0.029
2016Q3,立即退役,"ts_er(ts_rank(returns,3),40)",IC=-0.038
2016Q3,黄牌退役,"ts_er(delay(volume,10),244)",IC=-0.002
2016Q3,立即退役,"div(close,div(beta120,delta(returns,20)))",IC=-0.033
2016Q3,立即退役,"ts_rank(div(close,low),3)",IC=-0.031
2016Q3,立即退役,"ts_corr(open,volume,20)",IC=-0.038
2016Q3,入库,"ts_argmin(ts_mean(open,10),20)",专属hs300 IC=+0.039 方向=+1
2016Q3,入库,"ts_std(div(delay(delay(returns,60),60),returns),5)",专属zz500 IC=+0.026 方向=-1
2016Q3,入库,"ts_std(div(ts_std(beta120,20),returns),40)",专属zz500 IC=+0.023 方向=-1
2016Q3,入库,"mul(ts_std(returns,5),div(entropy120,low))",专属zz500 IC=+0.117 方向=+1
2016Q3,入库,"slog(sub(div(open,entropy120),returns))",专属zz1000 IC=+0.251 方向=-1
2016Q3,入库,"ts_std(ts_tsi(add(returns,high),40),3)",专属zz1000 IC=+0.058 方向=+1
2016Q3,入库,"ts_slope(returns,5)",专属zz1000 IC=+0.040 方向=+1
2016Q3,入库,"ts_zscore(ts_zscore(ts_zscore(ts_er(ts_zscore(returns,5),5),5),244),5)",专属cyb IC=+0.105 方向=+1
2016Q3,入库,"ts_er(ts_zscore(ts_er(ts_zscore(ts_zscore(returns,120),5),5),5),120)",专属cyb IC=+0.132 方向=+1
2016Q3,入库,"ts_zscore(ts_zscore(ts_slope(abs(returns),40),120),120)",专属cyb IC=+0.086 方向=+1
2016Q3,入库,"ts_zscore(ts_std(returns,5),120)",专属cyb IC=+0.093 方向=+1
2016Q3,入库,"ts_zscore(ts_zscore(ts_slope(ts_rank(returns,5),5),5),120)",专属cyb IC=+0.115 方向=+1
2016Q3,入库,"ts_min(ssqrt(open),244)",专属cyb IC=+0.045 方向=-1
2016Q3,入库,"ts_tsi(ts_zscore(returns,5),120)",专属cyb IC=+0.104 方向=+1
2016Q3,入库,"ts_slope(volume,5)",专属hongli IC=+0.098 方向=+1
2016Q3,入库,"ts_argmax(abs(returns),10)",专属hongli IC=+0.071 方向=-1
2016Q4,立即退役,"slog(neg(ts_tsi(returns,5)))",IC=-0.024
2016Q4,立即退役,"ts_tsi(returns,244)",IC=-0.044
2016Q4,立即退役,"div(close,ts_rank(div(close,low),120))",IC=-0.041
2016Q4,立即退役,"div(amount,ts_rank(div(close,high),120))",IC=-0.040
2016Q4,立即退役,"ts_min(abs(neg(returns)),60)",IC=-0.044
2016Q4,立即退役,"ts_zscore(ts_zscore(ts_rank(ts_zscore(returns,120),10),5),5)",IC=-0.046
2016Q4,黄牌退役,"ts_tsi(ssqrt(ts_std(returns,5)),5)",IC=-0.009
2016Q4,立即退役,"ts_argmax(high,60)",IC=-0.090
2016Q4,立即退役,"mul(ts_min(ts_slope(low,40),244),ts_max(ts_min(ts_sum(high,4",IC=-0.034
2016Q4,黄牌退役,"ts_zscore(ts_zscore(ts_er(returns,5),5),3)",IC=-0.003
2016Q4,黄牌退役,"mul(returns,delta(ssqrt(returns),60))",IC=-0.014
2016Q4,立即退役,"delay(low,244)",IC=-0.044
2016Q4,立即退役,"div(mul(low,ts_sum(beta120,120)),close)",IC=-0.038
2016Q4,立即退役,"ts_std(ts_tsi(volume,5),120)",IC=-0.055
2016Q4,立即退役,"ts_rank(ts_zscore(neg(delta(returns,120)),3),5)",IC=-0.043
2016Q4,立即退役,"ts_rank(ema(div(low,high),120),5)",IC=-0.058
2016Q4,立即退役,"ts_rank(ts_rank(ts_rank(ts_rank(returns,20),5),5),5)",IC=-0.069
2016Q4,立即退役,"ts_rank(abs(returns),3)",IC=-0.048
2016Q4,立即退役,"ts_argmin(ts_mean(open,10),20)",IC=-0.030
2016Q4,立即退役,"ts_std(div(ts_std(beta120,20),returns),40)",IC=-0.052
2016Q4,立即退役,"ts_min(ssqrt(open),244)",IC=-0.073
2016Q4,立即退役,"ts_tsi(ts_zscore(returns,5),120)",IC=-0.022
2016Q4,复职,"abs(div(delay(mul(returns,amount),244),mul(returns,volume)))",场外IC=+0.049
2016Q4,复职,"mul(returns,ts_corr(ts_decay_linear(high,40),ts_max(returns,",场外IC=+0.082
2016Q4,入库,"ts_zscore(abs(returns),10)",专属hs300 IC=+0.055 方向=+1
2016Q4,入库,"abs(ts_std(close,3))",专属hs300 IC=+0.100 方向=+1
2016Q4,入库,"ts_decay_linear(high,40)",专属zz1000 IC=+0.118 方向=-1
2016Q4,入库,"ts_argmax(delay(open,40),60)",专属zz1000 IC=+0.052 方向=-1
2016Q4,入库,"ts_argmax(delay(ts_min(low,3),5),40)",专属zz1000 IC=+0.017 方向=-1
2016Q4,入库,"ts_argmin(sub(open,high),60)",专属zz1000 IC=+0.120 方向=-1
2016Q4,入库,"ts_min(amount,10)",专属zz1000 IC=+0.158 方向=-1
2016Q4,入库,"abs(ts_tsi(neg(low),20))",专属zz1000 IC=+0.027 方向=+1
2016Q4,入库,"ts_rank(delta(returns,3),244)",专属cyb IC=+0.043 方向=+1
2016Q4,入库,"delta(ts_rank(ts_zscore(open,5),244),5)",专属cyb IC=+0.144 方向=-1
2016Q4,入库,"ts_rank(ts_argmin(ts_zscore(returns,5),5),244)",专属cyb IC=+0.053 方向=+1
2016Q4,入库,"ts_std(div(beta120,close),3)",专属hongli IC=+0.067 方向=+1
2016Q4,入库,"ts_std(sub(ts_argmin(div(beta120,beta120),244),beta120),3)",专属hongli IC=+0.052 方向=+1
2016Q4,入库,"ts_min(ts_sum(open,5),120)",专属hongli IC=+0.020 方向=-1
2016Q4,入库,"add(abs(ts_slope(volume,3)),ts_zscore(slog(returns),120))",专属hongli IC=+0.057 方向=+1
2016Q4,入库,"div(delta(volume,3),ts_std(returns,3))",专属hongli IC=+0.033 方向=+1
2016Q4,入库,"delay(high,40)",专属hongli IC=+0.034 方向=-1
2016Q4,入库,"mul(close,ts_corr(ssqrt(amount),ema(low,10),10))",专属hongli IC=+0.031 方向=+1
2016Q4,入库,"ts_std(div(open,beta120),3)",专属hongli IC=+0.063 方向=+1
2017Q1,立即退役,"ts_er(amount,3)",IC=-0.035
2017Q1,立即退役,"ts_min(returns,60)",IC=-0.029
2017Q1,立即退役,"abs(div(ts_sum(ts_tsi(volume,10),244),mul(returns,volume)))",IC=-0.041
2017Q1,立即退役,"abs(div(delay(mul(returns,amount),244),mul(returns,volume)))",IC=-0.038
2017Q1,立即退役,"ema(ts_corr(beta120,low,3),244)",IC=-0.035
2017Q1,立即退役,"ema(ts_rank(ts_argmin(close,244),5),5)",IC=-0.066
2017Q1,立即退役,"div(ts_max(sign(ts_tsi(beta120,3)),5),ts_std(returns,120))",IC=-0.069
2017Q1,立即退役,"div(ssqrt(div(close,abs(returns))),ts_corr(ts_zscore(close,4",IC=-0.041
2017Q1,立即退役,"ts_std(ts_argmax(high,3),20)",IC=-0.021
2017Q1,立即退役,"ts_argmax(amount,20)",IC=-0.058
2017Q1,立即退役,"ts_zscore(ts_zscore(ts_er(slog(returns),40),3),3)",IC=-0.021
2017Q1,立即退役,"ts_tsi(add(delta(amount,5),ema(high,120)),60)",IC=-0.048
2017Q1,立即退役,"ts_argmax(close,60)",IC=-0.104
2017Q1,立即退役,"ts_zscore(abs(returns),10)",IC=-0.043
2017Q1,立即退役,"ts_rank(delta(returns,3),244)",IC=-0.073
2017Q1,立即退役,"ts_std(div(beta120,close),3)",IC=-0.034
2017Q1,立即退役,"ts_std(sub(ts_argmin(div(beta120,beta120),244),beta120),3)",IC=-0.023
2017Q1,立即退役,"mul(close,ts_corr(ssqrt(amount),ema(low,10),10))",IC=-0.032
2017Q1,复职,"delay(delay(close,40),60)",场外IC=+0.086
2017Q1,复职,"ts_min(ts_sum(ts_std(slog(amount),20),20),244)",场外IC=+0.024
2017Q1,复职,"ts_tsi(ssqrt(ts_argmin(returns,5)),5)",场外IC=+0.025
2017Q1,入库,"ts_argmax(ts_rank(low,60),244)",专属hs300 IC=+0.024 方向=-1
2017Q1,入库,"ts_corr(ts_zscore(high,40),close,120)",专属hs300 IC=+0.060 方向=-1
2017Q1,入库,"ts_std(sign(returns),20)",专属hs300 IC=+0.038 方向=-1
2017Q1,入库,"delta(beta120,5)",专属hs300 IC=+0.063 方向=-1
2017Q1,入库,"abs(ts_max(div(ts_decay_linear(mul(returns,beta120),10),beta120),3))",专属zz500 IC=+0.067 方向=+1
2017Q1,入库,"div(div(high,ts_max(ssqrt(returns),3)),volume)",专属zz500 IC=+0.021 方向=-1
2017Q1,入库,"abs(ema(returns,3))",专属zz500 IC=+0.053 方向=+1
2017Q1,入库,"ts_min(abs(returns),10)",专属zz1000 IC=+0.044 方向=+1
2017Q1,入库,"ts_min(abs(returns),20)",专属zz1000 IC=+0.038 方向=+1
2017Q1,入库,"ts_max(low,244)",专属zz1000 IC=+0.059 方向=-1
2017Q1,入库,"div(ts_er(sub(low,close),40),open)",专属cyb IC=+0.039 方向=-1
2017Q1,入库,"sub(high,open)",专属cyb IC=+0.081 方向=+1
2017Q1,入库,"ts_rank(div(low,close),3)",专属cyb IC=+0.072 方向=-1
2017Q1,入库,"ts_rank(ssqrt(sub(high,open)),3)",专属cyb IC=+0.096 方向=+1
2017Q1,入库,"ts_rank(ts_er(open,5),3)",专属cyb IC=+0.068 方向=-1
2017Q1,入库,"mul(returns,delta(returns,10))",专属cyb IC=+0.113 方向=+1
2017Q1,入库,"mul(high,beta120)",专属cyb IC=+0.199 方向=-1
2017Q1,入库,"delta(delay(sub(high,open),60),20)",专属cyb IC=+0.074 方向=+1
2017Q1,入库,"ts_rank(open,3)",专属cyb IC=+0.075 方向=-1
2017Q1,入库,"ts_er(open,5)",专属cyb IC=+0.129 方向=-1
2017Q1,入库,"div(sub(close,beta120),ts_zscore(amount,60))",专属cyb IC=+0.082 方向=+1
2017Q1,入库,"ts_sum(ts_corr(low,close,10),120)",专属hongli IC=+0.037 方向=+1
2017Q1,入库,"ts_sum(ts_corr(ts_sum(ts_corr(low,high,10),120),high,10),120)",专属hongli IC=+0.034 方向=+1
2017Q1,入库,"ts_sum(ts_corr(open,ts_sum(ts_corr(low,amount,10),120),10),120)",专属hongli IC=+0.049 方向=+1
2017Q1,入库,"abs(ts_sum(returns,120))",专属hongli IC=+0.034 方向=+1
2017Q1,入库,"div(beta120,ts_corr(high,volume,20))",专属hongli IC=+0.022 方向=-1
2017Q2,立即退役,"div(high,ts_rank(ts_zscore(delta(ts_rank(close,3),120),60),5",IC=-0.066
2017Q2,立即退役,"div(close,ts_rank(returns,3))",IC=-0.033
2017Q2,立即退役,"ts_tsi(ssqrt(ts_argmin(returns,5)),5)",IC=-0.052
2017Q2,立即退役,"abs(delta(returns,40))",IC=-0.026
2017Q2,黄牌退役,"div(abs(div(close,abs(returns))),ts_sum(abs(div(entropy120,a",IC=-0.001
2017Q2,立即退役,"ts_er(ts_zscore(ts_er(ts_zscore(ts_zscore(returns,120),5),5)",IC=-0.040
2017Q2,立即退役,"abs(ts_std(close,3))",IC=-0.031
2017Q2,黄牌退役,"ts_min(ts_sum(open,5),120)",IC=-0.010
2017Q2,立即退役,"ts_std(sign(returns),20)",IC=-0.033
2017Q2,立即退役,"div(div(high,ts_max(ssqrt(returns),3)),volume)",IC=-0.058
2017Q2,立即退役,"delta(delay(sub(high,open),60),20)",IC=-0.051
2017Q2,立即退役,"ts_sum(ts_corr(open,ts_sum(ts_corr(low,amount,10),120),10),1",IC=-0.026
2017Q2,复职,"ts_rank(ts_tsi(ts_corr(volume,returns,3),3),120)",场外IC=+0.053
