date,breadth,disp,limit_net,nhnl,xskew,amt_ent
2004-08-03,0.6264591439688716,0.01792309,0.0077821011673151,-0.1108949416342412,1.1747432,0.8424981153143452
2004-08-04,0.974757281553398,0.016930792,0.0233009708737864,0.0,1.6814185,0.8867102840143284
2004-08-05,0.1984435797665369,0.016833367,0.0058365758754863,-0.0058365758754863,2.2869902,0.8673045245848209
2004-08-06,0.34375,0.017889919,0.0,-0.017578125,0.37783632,0.8429397132248897
2004-08-09,0.2937743190661478,0.0149810985,0.0,-0.0272373540856031,-0.32963187,0.8582185884213346
2004-08-10,0.6039215686274509,0.014289455,0.0,-0.0117647058823529,0.1364529,0.8768546353728794
2004-08-11,0.1009708737864077,0.017096419,0.0019417475728155,-0.1145631067961165,0.8208713,0.8642700596392037
2004-08-12,0.0970873786407767,0.020350026,-0.0019417475728155,-0.3242718446601941,0.2055369,0.8912527925618721
2004-08-13,0.4853801169590643,0.01600857,0.0019493177387914,-0.1871345029239766,-0.17586714,0.8896194486060963
2004-08-16,0.1070038910505836,0.023063751,-0.0116731517509727,-0.424124513618677,-0.41778487,0.8810231477039984
2004-08-17,0.4815533980582524,0.021613687,-0.003883495145631,-0.2796116504854369,-0.8403268,0.8843072233766088
2004-08-18,0.2996108949416342,0.01851792,-0.0019455252918287,-0.2898832684824903,-0.36447683,0.8772109549373893
2004-08-19,0.1167315175097276,0.02233219,0.0,-0.5077821011673151,0.38619015,0.9223737326083116
2004-08-20,0.62426614481409,0.02194443,0.0058708414872798,-0.2152641878669275,0.15413076,0.9135050643821648
2004-08-23,0.3679060665362035,0.02306465,0.0,-0.2113502935420743,0.18964064,0.8919475064230522
2004-08-24,0.9607072691552064,0.016995572,0.0196463654223968,0.0,1.5542727,0.90412713439153
2004-08-25,0.2592592592592592,0.019182418,0.0038986354775828,-0.0175438596491228,1.1259499,0.8736562728298476
2004-08-26,0.17578125,0.018245973,0.001953125,-0.076171875,0.43002465,0.8822219265431621
2004-08-27,0.1867704280155642,0.020394826,0.0,-0.1712062256809338,0.09832363,0.8995395343958122
2004-08-30,0.592156862745098,0.017703462,0.0019607843137254,-0.088235294117647,0.003784505,0.8780468027022232
2004-08-31,0.980430528375734,0.014928098,0.0117416829745596,-0.0039138943248532,1.3123927,0.9097010683048592
2004-09-01,0.0846456692913385,0.014949775,0.0019685039370078,-0.0295275590551181,1.9303832,0.8808359975353716
2004-09-02,0.9559386973180076,0.014934579,0.0076628352490421,-0.0019157088122605,1.3867509,0.8686764220156626
2004-09-03,0.4491362763915547,0.016815947,0.0038387715930902,-0.0019193857965451,1.2649474,0.8988504807521214
2004-09-06,0.4294003868471953,0.011624783,0.0,0.0,1.1504524,0.878959777328726
2004-09-07,0.4482758620689655,0.01246836,0.0,-0.003831417624521,0.36448726,0.8763578857391279
2004-09-08,0.2084130019120459,0.010980383,0.0,-0.0152963671128107,1.3409703,0.8713980342041726
2004-09-09,0.0554493307839388,0.015472427,-0.0019120458891013,-0.1032504780114722,0.51564234,0.9102205065497728
2004-09-10,0.4970986460348162,0.014329798,0.0,-0.0851063829787234,0.4650193,0.8880907493950058
2004-09-13,0.1003861003861003,0.021728214,0.0,-0.3011583011583011,0.3978364,0.8783199770376275
2004-09-14,0.992337164750958,0.016076634,0.0172413793103448,-0.003831417624521,0.70735747,0.8942986747991053
2004-09-15,0.9980657640232108,0.018564777,0.0773694390715667,-0.0019342359767891,0.66821,0.9268132020953274
2004-09-16,0.8365384615384616,0.021272114,0.0192307692307692,-0.0019230769230769,1.4756132,0.9017598899017708
2004-09-17,0.998062015503876,0.016429104,0.0193798449612403,0.0,1.7785798,0.9275990732101388
2004-09-20,0.9980430528375732,0.018542882,0.0410958904109589,0.0,1.4344394,0.9388250238000618
2004-09-21,0.3307543520309478,0.026503563,0.0174081237911025,0.0,1.5785984,0.9274509903133566
2004-09-22,0.1689059500959693,0.025361218,0.0019193857965451,-0.0019193857965451,1.3905613,0.9127250451617376
2004-09-23,0.903846153846154,0.019564997,0.0096153846153846,-0.0038461538461538,0.16645035,0.9191033910786428
2004-09-24,0.0524271844660194,0.019445576,0.0,-0.003883495145631,0.97274625,0.9316889384331968
2004-09-27,0.0994152046783625,0.018343069,0.0,-0.0038986354775828,0.8526562,0.9258746635805964
2004-09-28,0.6666666666666666,0.016225902,-0.001937984496124,-0.001937984496124,-0.59755915,0.910752718114297
2004-09-29,0.1593090211132437,0.018525502,-0.0019193857965451,-0.0038387715930902,0.35183874,0.9093347621451524
2004-09-30,0.0996168582375478,0.020167235,-0.0057471264367816,-0.0076628352490421,0.06990917,0.8938470346637069
2004-10-08,0.95,0.022131387,0.023076923076923,-0.0057692307692307,0.21751496,0.8638943690415365
2004-10-11,0.5551330798479087,0.019931102,0.0057034220532319,-0.0038022813688212,1.0837888,0.8914050088803795
2004-10-12,0.183206106870229,0.023497753,-0.0038167938931297,-0.0190839694656488,0.6238137,0.898978865148401
2004-10-13,0.560377358490566,0.025287963,0.0075471698113207,-0.0452830188679245,0.2742279,0.9087272181750664
2004-10-14,0.0264150943396226,0.026530776,-0.1132075471698113,-0.1641509433962264,1.291623,0.9072785869147384
2004-10-15,0.2471264367816092,0.027348656,-0.0019157088122605,-0.1992337164750957,0.14892794,0.906649855205123
2004-10-18,0.6628131021194605,0.02348586,0.0077071290944123,-0.1329479768786127,0.03243084,0.8958087368348688
2004-10-19,0.4385633270321361,0.021363575,0.0018903591682419,-0.0680529300567107,0.3834939,0.9105425735578252
2004-10-20,0.1965973534971644,0.02486477,-0.0056710775047258,-0.2344045368620037,0.45649883,0.9141814005870512
2004-10-21,0.1583969465648854,0.031983837,-0.032442748091603,-0.3816793893129771,0.06374181,0.9223039741978292
2004-10-22,0.5133587786259542,0.035028256,0.0,-0.2824427480916031,0.04303972,0.9219082784117552
2004-10-25,0.2827324478178368,0.029843388,0.0132827324478178,-0.2941176470588235,0.81106544,0.9077457919478906
2004-10-26,0.7178030303030303,0.028749399,0.0151515151515151,-0.1079545454545454,-0.016031042,0.9133619578739306
2004-10-27,0.9106463878326996,0.02364959,0.0361216730038022,-0.0076045627376425,0.59654355,0.9052924422439323
2004-10-28,0.3079847908745247,0.026403036,0.0152091254752851,-0.0133079847908745,1.2494107,0.9140217578310638
2004-10-29,0.1647727272727272,0.024656981,0.0037878787878787,-0.0814393939393939,1.0890467,0.9024821903308016
2004-11-01,0.3269961977186312,0.025160491,0.0076045627376425,-0.0779467680608365,0.77318364,0.8979199732899945
2004-11-02,0.4752851711026616,0.019654432,0.0038022813688212,-0.0684410646387832,0.32750878,0.9021604615030095
2004-11-03,0.9751434034416826,0.015872909,0.011472275334608,-0.0038240917782026,1.2391975,0.8952937437922337
2004-11-04,0.1292775665399239,0.022523342,0.0057034220532319,-0.0646387832699619,1.7194244,0.8984460291531666
2004-11-05,0.4705882352941176,0.01745838,0.0018975332068311,-0.0721062618595825,0.2831695,0.8953500964196003
2004-11-08,0.5477099236641222,0.017617408,0.0038167938931297,-0.0438931297709923,0.5270209,0.8970657262843225
2004-11-09,0.6072106261859582,0.014733,0.0,-0.0189753320683111,0.7540479,0.8714995669570709
2004-11-10,0.9923809523809524,0.016168518,0.0171428571428571,-0.0019047619047619,0.9853868,0.9150656363653088
2004-11-11,0.3802281368821292,0.019708037,0.0095057034220532,0.0,1.9068755,0.9178542330981204
2004-11-12,0.4923371647509578,0.01793924,0.0019157088122605,-0.003831417624521,0.814875,0.9094970092491635
2004-11-15,0.8445297504798465,0.015810682,0.0019193857965451,0.0019193857965451,1.0645359,0.922289457508405
2004-11-16,0.3409523809523809,0.016206268,0.0,0.0038095238095238,1.2598271,0.9183067504514792
2004-11-17,0.2015209125475285,0.018361552,0.0038022813688212,0.0019011406844106,1.7805941,0.9207449526865176
2004-11-18,0.8956356736242884,0.015231152,0.0075901328273244,0.0,1.7773595,0.9286941521848424
2004-11-19,0.7542857142857143,0.01986127,0.0171428571428571,0.0,1.5714124,0.9400793814031132
2004-11-22,0.8893129770992366,0.01984635,0.0190839694656488,0.0,1.6160693,0.9377187467601776
2004-11-23,0.5930902111324377,0.023029858,0.0095969289827255,-0.0019193857965451,1.0558124,0.9359451071101692
2004-11-24,0.1352380952380952,0.023912912,0.0,0.0,0.74810845,0.925966036028426
2004-11-25,0.2523900573613766,0.021799836,0.0,0.0,0.25539374,0.921187885077384
2004-11-26,0.6368932038834951,0.019518882,0.0116504854368932,0.0,0.7992065,0.9092884239707332
2004-11-29,0.1695906432748538,0.02112436,-0.0019493177387914,-0.0019493177387914,0.7647614,0.9229146596551916
2004-11-30,0.7370441458733206,0.018346157,0.0057581573896353,-0.0038387715930902,1.2835552,0.89908128647572
2004-12-01,0.366223908918406,0.018793408,0.0,-0.0056925996204933,0.97982436,0.8838455792716369
2004-12-02,0.698076923076923,0.024472635,0.0076923076923076,-0.0038461538461538,0.21315707,0.8994900097007917
2004-12-03,0.7846153846153846,0.019917084,0.0134615384615384,-0.0019230769230769,1.1745287,0.9241570578479034
2004-12-06,0.5405405405405406,0.018116632,0.0057915057915057,-0.0019305019305019,1.3230453,0.9176630894280472
2004-12-07,0.1034482758620689,0.019460363,0.0,-0.0019157088122605,1.215538,0.928127793488158
2004-12-08,0.7030651340996169,0.016770883,0.0019157088122605,-0.003831417624521,1.1400105,0.9121272967797328
2004-12-09,0.5391969407265774,0.02107427,0.0,-0.0038240917782026,-0.42249414,0.9112703802117872
2004-12-10,0.0424710424710424,0.020993007,-0.0057915057915057,-0.0057915057915057,0.58169097,0.9270417123944392
2004-12-13,0.2350674373795761,0.020159606,-0.001926782273603,-0.0057803468208092,0.0670451,0.9159741790945084
2004-12-14,0.3096153846153846,0.014856816,0.0,-0.0115384615384615,0.17239368,0.8942804935821593
2004-12-15,0.2854406130268199,0.019828621,0.0,-0.0363984674329501,-0.27683374,0.9165213201925247
2004-12-16,0.1158301158301158,0.017645977,0.0,-0.0598455598455598,0.103759676,0.8708017892973087
2004-12-17,0.2737864077669903,0.018828593,0.003883495145631,-0.062135922330097,0.6286993,0.8770142688207792
2004-12-20,0.3391472868217054,0.020027336,0.003875968992248,-0.0562015503875969,0.405804,0.8660712597626576
2004-12-21,0.7230769230769231,0.01424438,0.0019230769230769,-0.0076923076923076,0.8503327,0.8698007086454477
2004-12-22,0.9808795411089866,0.015882175,0.0152963671128107,0.0,0.7962721,0.9102272101401264
2004-12-23,0.0711538461538461,0.017244386,0.0,-0.0153846153846153,1.4953012,0.890081710817379
2004-12-24,0.5203094777562862,0.016312938,-0.0019342359767891,-0.0174081237911025,0.0036137458,0.8868876749102607
2004-12-27,0.251953125,0.014992241,0.0,-0.0390625,0.15899411,0.8855274330927453
2004-12-28,0.3039215686274509,0.016455272,0.0019607843137254,-0.0509803921568627,0.45706236,0.890255829088389
2004-12-29,0.2664092664092664,0.020016685,0.0,-0.081081081081081,0.3138306,0.8843135005352629
2004-12-30,0.2810077519379845,0.019503517,0.0,-0.1317829457364341,0.33358258,0.9072425359548524
2004-12-31,0.1439539347408829,0.023399722,-0.0076775431861804,-0.2571976967370441,-0.53438056,0.9247552980494934
2005-01-04,0.2356321839080459,0.02068725,0.0019157088122605,-0.2471264367816092,0.62165767,0.9035039191514828
2005-01-05,0.937037037037037,0.017176539,0.0129629629629629,-0.0074074074074074,0.96145487,0.8897443338359099
2005-01-06,0.2282003710575139,0.01781707,0.0,-0.0408163265306122,0.8674838,0.8485917012031117
2005-01-07,0.7111111111111111,0.017120942,0.0055555555555555,-0.0259259259259259,0.6332276,0.8572471567153722
2005-01-10,0.7959183673469388,0.016339809,0.0055658627087198,-0.0111317254174397,1.0451156,0.8650415834107864
2005-01-11,0.5378927911275416,0.015924055,0.0036968576709796,-0.0018484288354898,2.0361784,0.8617301624504698
2005-01-12,0.3253234750462107,0.016341757,0.0,-0.0055452865064695,1.01398,0.8626242956799003
2005-01-13,0.4805194805194805,0.019532919,0.0055658627087198,-0.0092764378478664,1.279066,0.8546409080549002
2005-01-14,0.1592592592592592,0.018694151,0.0037037037037037,-0.024074074074074,1.5171508,0.8783585744150784
2005-01-17,0.1171003717472119,0.02424824,-0.0018587360594795,-0.2193308550185873,1.2289982,0.8949058389331018
2005-01-18,0.9001848428835489,0.017856985,0.0092421441774491,-0.0258780036968576,0.6441508,0.885016419417397
2005-01-19,0.3937153419593345,0.022415405,0.0055452865064695,-0.0388170055452865,0.77125573,0.8655875657928591
2005-01-20,0.1542750929368029,0.020314198,-0.0018587360594795,-0.137546468401487,0.92913157,0.8873555957635421
2005-01-21,0.8055555555555556,0.022337975,0.0037037037037037,-0.0148148148148148,-0.64865065,0.8970901146513721
2005-01-24,0.9776951672862454,0.016069276,0.0167286245353159,0.0018587360594795,2.2059655,0.9139959070695676
2005-01-25,0.2118959107806691,0.019587005,0.0018587360594795,-0.0018587360594795,1.207516,0.8943090965665236
2005-01-26,0.188539741219963,0.019673323,0.0055452865064695,-0.0203327171903881,1.6496545,0.8851734098462911
2005-01-27,0.1152416356877323,0.02075576,-0.0018587360594795,-0.0985130111524163,0.481527,0.884785030761648
2005-01-28,0.075046904315197,0.023955805,-0.0225140712945591,-0.275797373358349,-0.36831602,0.8982782439534687
2005-01-31,0.0475285171102661,0.02733805,-0.0570342205323193,-0.5133079847908745,0.2896608,0.9253719914969072
2005-02-01,0.2230483271375464,0.028541831,-0.0223048327137546,-0.4869888475836431,-0.6448558,0.90831657900051
2005-02-02,0.9753320683111956,0.018177262,0.01707779886148,-0.0189753320683111,-1.0777297,0.9293751089426266
2005-02-03,0.0748560460652591,0.020566626,0.0019193857965451,-0.0786948176583493,1.5667772,0.9303793200786472
2005-02-04,0.816793893129771,0.021412555,0.0038167938931297,-0.0725190839694656,-0.8070488,0.9241094314141964
2005-02-16,0.8489483747609943,0.018517233,0.0133843212237093,-0.0019120458891013,1.546188,0.9197784552054794
2005-02-17,0.6539923954372624,0.015606237,0.0038022813688212,-0.0019011406844106,1.5142312,0.8994644252042525
2005-02-18,0.2137404580152671,0.016748777,0.0019083969465648,-0.0019083969465648,1.4994212,0.8952326251937551
2005-02-21,0.9544592030360532,0.015122026,0.0094876660341555,0.0,2.1214561,0.9125425426511872
2005-02-22,0.9923518164435946,0.017679784,0.0191204588910133,0.0,1.6721727,0.9317803196081568
2005-02-23,0.7954545454545454,0.020827167,0.0189393939393939,0.0,1.6076248,0.9320644272851384
2005-02-24,0.5047619047619047,0.017317638,0.0,-0.0019047619047619,0.70435417,0.9103341107397832
2005-02-25,0.395793499043977,0.018284151,0.0,0.0,1.1451174,0.9289466814947034
2005-02-28,0.3704414587332054,0.021583287,0.0057581573896353,0.0019193857965451,1.2915037,0.919503476927979
2005-03-01,0.5256166982922201,0.02279753,0.0037950664136622,0.0,0.51022583,0.913589694367096
2005-03-02,0.1439393939393939,0.020943884,0.0037878787878787,-0.0018939393939393,1.3914031,0.9108424952092126
2005-03-03,0.5477099236641222,0.019210868,0.0057251908396946,-0.0019083969465648,0.75224584,0.9134824560170663
2005-03-04,0.2423664122137404,0.017311838,0.0,-0.0019083969465648,0.53191274,0.9100130355740408
2005-03-07,0.51252408477842,0.017730184,0.0,-0.0038535645472061,0.5233602,0.8956050177641086
2005-03-08,0.9239543726235742,0.015994467,0.0076045627376425,0.0,1.0981282,0.9170937657681412
2005-03-09,0.5654648956356736,0.018590398,0.0113851992409867,0.0,1.8317293,0.9155529801970248
