日,RV5m,BV,OFI,OFI尾,日内收益,隔夜收益,尾盘量占,委比,跳跃
2018-01-02,0.33909010332128253,0.34091957503473375,-0.9998647734956051,-0.7607719219049769,0.8922457036509845,0.02477078133800159,0.1565717611359216,0.0,0.0
2018-01-03,0.3770640415040807,0.3858661143390184,-0.9414189258130436,-0.9413428814341585,0.9748800179727013,-0.0016443689438760956,0.14081414296150607,0.0,0.0
2018-01-04,0.3992782363538464,0.37055255133663884,-0.8195121955053393,-0.4979308797530102,0.3518942094622668,0.0003762406833640597,0.15486570126787902,0.0,0.14870748711395027
2018-01-05,0.3989156941186972,0.3619102809330604,0.9999821750057931,1.484225563545677,0.07404946657751932,-0.006189346340468305,0.15980010622694976,0.0,0.16779356235909446
2018-01-08,0.46088482328429276,0.4371757321401545,-1.0,-1.0579580977437374e-05,0.2248232991933552,0.0016996549379699744,0.1408704238028512,0.0,0.1459184688842152
2018-01-09,0.36989352391611074,0.3851669794963086,-0.9999914237442218,-1.928433357178734,-0.0056874944981633035,-0.038673097837416126,0.1430129255657169,0.0,0.0
2018-01-10,0.5990171739579473,0.6368583188138074,0.0,-0.8874489364699253,-0.4731275404685875,-0.0001129277892863989,0.14065061297614642,0.0,0.0
2018-01-11,0.5191331991529117,0.5248532768407658,1.000065793802224,-0.0009970089730807366,0.7755806019107192,-0.01805247521466935,0.14433831337965294,0.0,0.0
2018-01-12,0.45237934136420765,0.3777002315805962,0.08287063893262617,-1.4710208884966167,-0.5386447946129302,-0.004420415936579047,0.144223636085141,0.0,0.24897711452476579
2018-01-15,1.100249835173791,0.9660469110851773,0.0,0.0,-2.4119543874339344,-0.0428345442946787,0.16013823971350827,0.0,0.5265957324008066
2018-01-16,0.4884550795501165,0.457959536059625,-0.9999953661011766,-0.16658577901400784,0.6461272051087485,-0.0024016226814471686,0.1680644018978207,0.0,0.16988651526935167
2018-01-17,0.9129648420425741,0.9578635539706144,-2.0,-1.0001052742393937,0.07540757966173484,-0.01569741811339176,0.11846792890711087,0.0,0.0
2018-01-18,0.43114388055389957,0.42965221039332824,1.0000348444196663,0.9999590558411959,0.3972726861073417,-0.005552753117632481,0.16514911923594808,0.0,0.03583327843223977
2018-01-19,0.44580384722316446,0.4632925863017661,0.030927835051546657,0.0,-0.21850274565835548,0.0024362407114564277,0.16327215692115762,0.0,0.0
2018-01-22,0.6133860914104785,0.5733622926217823,-0.9904762096086587,-0.9890638274035937,1.2461746973605026,-0.00848343416804953,0.14498764997306077,0.0,0.21794076841040463
2018-01-23,0.4082052059872734,0.4083621152469845,0.0,-0.0014184397163121522,0.1505573519550829,0.006438891325943885,0.15220457192376108,0.0,0.0
2018-01-24,0.4888487507919431,0.4801375814144774,0.0,0.00029700029700034344,0.9168652461521765,-0.0045402212018097465,0.1524186099047053,0.0,0.09187493708460105
2018-01-25,0.49275424467890633,0.45888967191912805,0.0,0.011522204500936937,-0.010656359544636285,-0.027003823774840452,0.16835473181296082,0.0,0.1795188420613126
2018-01-26,0.3985794477202948,0.3538073349874499,1.0206576986670477,0.0,0.19903159579366392,-0.01808534622257385,0.16679450870873655,0.0,0.18353731460957368
2018-01-29,0.7474981217977896,0.7470160136299987,1.0000577233721295,0.99651136202134,-1.1394021128483645,0.0075407942719429855,0.14577419759900231,0.0,0.026842456511443957
2018-01-30,0.5154772103945602,0.48116807646333687,-0.9999999999999998,1.0,0.023407969046540522,-0.029643413415114672,0.15937385586756614,0.0,0.18491629627680217
2018-01-31,1.0110442061309748,0.8671076075476942,-1.0,0.0,-1.7367523860746248,-0.03353075267317207,0.1412396770276405,0.0,0.5199372882222691
2018-02-01,1.422159806137092,1.3415643999360332,0.0,0.0,-3.9732304372645078,0.0045207935915891895,0.14886974768629738,0.0,0.47195706903929524
2018-02-02,1.4822616009649434,1.399999192040024,-0.0007053270999449647,0.0,0.5195859716714768,-0.001761576711856172,0.16111414655093018,0.0,0.4869309149996916
2018-02-05,0.7311157483916203,0.5893287388498696,0.0,0.0,0.9670665793968469,-0.04929660545432979,0.15015885730755837,0.0,0.4326914317523069
2018-02-06,1.4571624843236464,1.452607622505728,0.0,0.0,-3.2553826413044606,-0.060451380380499575,0.20135944722100785,0.0,0.11512428396527527
2018-02-07,1.953734737409329,1.5998429596580113,1.3035428993820618e-76,1.3035428993820618e-76,-1.570498686017885,0.3216490056757282,0.11964530880125339,0.0,1.1214196041592082
2018-02-08,1.0282419322951695,0.88672580082804,-0.23661774583228765,-0.23661774583228765,1.6006106114024643,-0.02993593277287321,0.15048848810720347,0.0,0.5205754752924644
2018-02-09,1.8578567495948102,1.4267894084595187,-0.9999999866665943,1.8654497858074695,-0.5125304974169298,-0.26464391867480064,0.12905130259279596,0.0,1.1899175122346632
