,年化,夏普,最大回撤,卡玛,均|仓|
熊增强·多空(定稿),25.4%,1.24,-18.6%,1.37,60.3%
熊增强·纯多(禁空),14.4%,0.87,-19.0%,0.76,28.5%
仅量价·多空,24.6%,1.20,-18.6%,1.32,60.3%
持有512100,4.1%,0.19,-46.3%,0.09,
,,,,,
2018·多空,50.5%,2.32,-7.2%,7.03,
2018·纯多,5.1%,0.12,-8.4%,0.61,
2018·持有,-35.8%,-1.87,-40.0%,-0.89,
,,,,,
2019·多空,40.0%,2.03,-8.9%,4.49,
2019·纯多,27.8%,1.83,-5.9%,4.71,
2019·持有,35.0%,1.20,-19.3%,1.82,
,,,,,
2020·多空,34.7%,1.44,-15.9%,2.18,
2020·纯多,35.4%,1.80,-10.2%,3.48,
2020·持有,31.5%,1.02,-15.9%,1.98,
,,,,,
2021·多空,14.7%,0.90,-8.2%,1.79,
2021·纯多,14.5%,1.12,-8.7%,1.65,
2021·持有,24.4%,1.09,-10.4%,2.34,
,,,,,
2022·多空,-4.0%,-0.24,-11.5%,-0.35,
2022·纯多,-4.7%,-0.38,-14.9%,-0.32,
2022·持有,-22.3%,-0.97,-33.9%,-0.66,
,,,,,
2023·多空,18.0%,1.63,-5.9%,3.04,
2023·纯多,5.2%,0.48,-8.3%,0.63,
2023·持有,-5.3%,-0.46,-19.5%,-0.27,
,,,,,
2024·多空,27.4%,0.97,-17.9%,1.53,
2024·纯多,12.7%,0.54,-18.3%,0.69,
2024·持有,2.0%,0.16,-26.2%,0.07,
,,,,,
2025·多空,33.6%,1.93,-6.0%,5.56,
2025·纯多,22.9%,2.33,-4.3%,5.29,
2025·持有,29.4%,1.26,-16.1%,1.82,
,,,,,
2026·多空,19.7%,1.02,-7.1%,2.76,
2026·纯多,16.7%,1.14,-6.4%,2.61,
2026·持有,3.2%,0.19,-14.1%,0.23,
,,,,,
